Trial,Reef,Treatment,Tag,Final.Size,Initial.Sex,Growth,Sex,Wet.Weight,Sex.change
5,7,med,29,31,female,2,female,0.53,0
5,7,med,27,28,female,1,female,0.43,0
5,7,med,20,25,female,5,female,0.32,0
5,8,low,NA,21,NA,,male,0.17,NA
5,8,low,NA,21,NA,,immature,0.13,NA
5,8,low,30,35,female,5,male,0.69,1
5,8,low,33,34,male,1,transitional,0.71,1
5,8,low,31,31,female,0,female,0.53,0
5,8,low,29,30,female,1,female,0.46,0
5,8,low,29,28,female,-1,female,0.44,0
5,8,low,29,32,female,3,female,0.54,0
5,9,high,NA,21,NA,,female,0.21,NA
5,9,high,32,34,male,2,female,0.64,1
5,9,high,33,35,male,2,male,0.77,0
5,10,med,23,25,female,2,female,0.31,0
5,10,med,28,29,female,1,male,0.4,1
5,10,med,39,39,male,0,male,0.91,0
5,10,med,32,36,male,4,male,0.87,0
5,10,med,28,29,female,1,female,0.39,0
5,11,low,NA,11,NA,,immature,0.02,NA
5,11,low,NA,23,NA,,female,0.22,NA
5,11,low,NA,20,NA,,male,0.16,NA
5,11,low,29,31,female,2,male,0.5,1
5,11,low,27,28,female,1,female,0.38,0
5,11,low,27,30,female,3,female,0.49,0
5,11,low,34,35,male,1,male,0.68,0
5,12,high,NA,21,NA,,immature,0.17,NA
5,13,low,NA,20,NA,,immature,0.16,NA
5,14,med,25,31,female,6,male,0.52,1
5,14,med,29,30,female,1,transitional,0.49,1
5,14,med,29,31,female,2,female,0.51,0
5,14,med,NA,26,NA,,female,0.28,NA
5,14,med,28,31,female,3,female,0.5,0
5,15,high,31,31,female,0,transitional,0.52,1
5,15,high,NA,17,NA,,immature,0.09,NA
5,15,high,31,35,female,4,male,0.74,1
5,15,high,31,33,female,2,male,0.57,1
5,15,high,29,30,female,1,female,0.46,0
5,15,high,32,31,male,-1,male,0.47,0
5,15,high,27,28,female,1,female,0.41,0
5,15,high,30,34,female,4,transitional,0.8,1
5,15,high,28,30,female,2,male,0.47,1
5,15,high,29,30,female,1,female,0.53,0
5,15,high,25,26,female,1,female,0.34,0
5,16,med,NA,20,NA,,male,0.14,NA
5,16,med,27,28,female,1,female,0.4,0
5,16,med,28,29,female,1,female,0.4,0
5,16,med,28,30,female,2,female,0.45,0
5,16,med,30,31,female,1,transitional,0.54,1
5,16,med,30,30,female,0,female,0.58,0
5,17,low,23,26,female,3,female,0.37,0
5,17,low,27,29,female,2,female,0.5,0
5,17,low,28,29,female,1,female,0.4,0
5,17,low,30,31,female,1,female,0.54,0
5,17,low,33,34,male,1,male,0.77,0
5,18,high,25,27,female,2,female,0.35,0
5,18,high,30,34,female,4,male,0.63,1
5,18,high,NA,17,NA,,immature,0.1,NA
5,18,high,22,25,female,3,female,0.26,0
5,18,high,29,31,female,2,transitional,0.45,1
5,18,high,27,31,female,4,male,0.55,1
5,18,high,23,26,female,3,male,0.3,1
5,18,high,30,28,female,-2,female,0.4,0
