Trial,Reef,Treatment,Tag,Final.Size,Initial.Sex,Growth,Sex,Wet.Weight,Sex.change,Male,Female
4,13,Low,21,26,female,5,female,0.32,0,0,1
4,13,Low,25,29,female,4,female,0.5,0,0,1
4,13,Low,25,29,female,4,female,0.44,0,0,1
4,13,Low,27,29,female,2,female,0.49,0,0,1
4,13,Low,30,35,female,5,transitional,0.83,1,0,0
4,14,Medium,NA,14,NA,NA,immature,0.06,NA,0,0
4,14,Medium,24,26,female,2,female,0.34,0,0,1
4,14,Medium,30,36,female,6,male,0.88,1,1,0
4,14,Medium,33,37,male,4,male,0.93,0,1,0
4,14,Medium,33,35,male,2,male,0.85,0,1,0
4,14,Medium,28,30,female,2,female,0.54,0,0,1
4,14,Medium,26,28,female,2,male,0.4,1,1,0
4,14,Medium,29,31,female,2,female,0.49,0,0,1
4,14,Medium,29,31,female,2,female,0.56,0,0,1
4,14,Medium,25,28,female,3,female,0.4,0,0,1
4,14,Medium,31,34,female,3,female,0.72,0,0,1
4,14,Medium,26,31,female,5,female,0.57,0,0,1
4,14,Medium,26,27,female,1,female,0.33,0,0,1
4,14,Medium,26,26,female,0,female,0.37,0,0,1
4,14,Medium,24,27,female,3,female,0.34,0,0,1
4,14,Medium,27,30,female,3,female,0.47,0,0,1
4,14,Medium,25,26,female,1,female,0.35,0,0,1
4,14,Medium,28,29,female,1,female,0.53,0,0,1
4,14,Medium,25,26,female,1,female,0.33,0,0,1
4,15,Low,27,34,female,7,male,0.73,1,1,0
4,15,Low,31,34,female,3,male,0.74,1,1,0
4,15,Low,24,27,female,3,female,0.37,0,0,1
4,15,Low,23,26,female,3,female,0.34,0,0,1
4,15,Low,30,32,female,2,female,0.6,0,0,1
4,15,Low,25,28,female,3,female,0.45,0,0,1
4,15,Low,31,31,female,0,female,0.58,0,0,1
4,15,Low,33,36,male,3,male,0.83,0,1,0
4,15,Low,41,41,male,0,male,1.1,0,1,0
4,16,High,33,33,male,0,male,0.63,0,1,0
4,16,High,27,30,female,3,female,0.5,0,0,1
4,16,High,25,28,female,3,female,0.38,0,0,1
4,16,High,NA,19,NA,NA,immature,0.12,NA,0,0
4,16,High,26,30,female,4,female,0.57,0,0,1
4,16,High,25,28,female,3,female,0.41,0,0,1
4,16,High,23,26,female,3,female,0.33,0,0,1
4,16,High,27,33,female,6,transitional,0.7,1,0,0
4,16,High,26,28,female,2,female,0.43,0,0,1
4,16,High,28,31,female,3,female,0.52,0,0,1
4,17,Medium,28,30,female,2,female,0.5,0,0,1
4,17,Medium,33,36,male,3,male,0.87,0,1,0
4,17,Medium,40,40,male,0,male,0.9,0,1,0
4,17,Medium,31,36,female,5,male,0.84,1,1,0
4,17,Medium,24,27,female,3,female,0.38,0,0,1
4,17,Medium,26,28,female,2,female,0.41,0,0,1
4,17,Medium,24,26,female,2,male,0.27,1,1,0
4,17,Medium,25,26,female,1,female,0.33,0,0,1
4,17,Medium,23,26,female,3,female,0.28,0,0,1
4,17,Medium,27,29,female,2,female,0.44,0,0,1
4,17,Medium,29,31,female,2,female,0.53,0,0,1
4,17,Medium,30,31,female,1,female,0.54,0,0,1
4,17,Medium,28,31,female,3,female,0.53,0,0,1
4,17,Medium,26,29,female,3,female,0.46,0,0,1
4,17,Medium,29,31,female,2,female,0.52,0,0,1
4,17,Medium,30,32,female,2,male,0.64,1,1,0
4,17,Medium,31,32,female,1,female,0.63,0,0,1
4,18,High,NA,10,NA,NA,immature,0.04,NA,0,0
4,18,High,NA,11,NA,NA,immature,0.05,NA,0,0
4,18,High,26,31,female,5,male,0.53,1,1,0
4,18,High,24,27,female,3,female,0.37,0,0,1
4,18,High,29,32,female,3,male,0.62,1,1,0
4,18,High,28,29,female,1,female,0.44,0,0,1
4,18,High,29,32,female,3,transitional,0.57,1,0,0
5,1,High,27,29,female,2,male,0.4,1,1,0
5,1,High,30,30,female,0,female,0.5,0,0,1
5,1,High,34,34,male,0,male,0.65,0,1,0
5,1,High,NA,21,NA,NA,female,0.18,NA,0,1
5,1,High,NA,16,NA,NA,immature,NA,NA,0,0
5,2,Low,22,27,female,5,female,0.36,0,0,1
5,2,Low,28,28,female,0,female,0.48,0,0,1
5,2,Low,33,36,male,3,male,0.76,0,1,0
5,2,Low,30,31,female,1,female,0.53,0,0,1
5,2,Low,33,35,male,2,female,0.82,1,0,1
5,2,Low,29,31,female,2,male,0.57,1,1,0
5,2,Low,25,26,female,1,transitional,0.32,1,0,0
5,2,Low,27,29,female,2,female,0.43,0,0,1
5,2,Low,28,30,female,2,female,0.54,0,0,1
5,2,Low,30,32,female,2,female,0.49,0,0,1
5,3,Medium,23,27,female,4,female,0.38,0,0,1
5,3,Medium,28,29,female,1,female,0.48,0,0,1
5,3,Medium,22,26,female,4,female,0.33,0,0,1
5,3,Medium,34,36,male,2,male,0.91,0,1,0
5,3,Medium,33,35,male,2,female,0.69,1,0,1
5,3,Medium,31,34,female,3,female,0.82,0,0,1
5,3,Medium,30,31,female,1,female,0.59,0,0,1
5,4,Low,NA,10,NA,NA,immature,NA,NA,0,0
5,4,Low,NA,23,NA,NA,immature,0.23,NA,0,0
5,4,Low,28,29,female,1,female,0.4,0,0,1
5,4,Low,26,29,female,3,female,0.38,0,0,1
5,4,Low,25,27,female,2,male,0.35,1,1,0
5,4,Low,30,31,female,1,male,0.52,1,1,0
5,4,Low,23,26,female,3,female,0.35,0,0,1
5,5,Medium,30,33,female,3,male,0.87,1,1,0
5,5,Medium,31,32,female,1,female,0.65,0,0,1
5,5,Medium,29,31,female,2,female,0.5,0,0,1
5,5,Medium,29,31,female,2,female,0.54,0,0,1
5,5,Medium,28,28,female,0,female,0.51,0,0,1
5,5,Medium,32,35,male,3,transitional,0.74,1,0,0
5,5,Medium,29,31,female,2,male,0.83,1,1,0
5,6,High,30,32,female,2,transitional,0.56,1,0,0
5,6,High,NA,20,NA,NA,female,0.17,NA,0,1
5,6,High,NA,14,NA,NA,immature,NA,NA,0,0
5,6,High,28,29,female,1,female,0.42,0,0,1
5,7,Medium,20,26,female,6,female,0.32,0,0,1
5,7,Medium,22,26,female,4,female,0.29,0,0,1
5,7,Medium,35,36,male,1,male,0.82,0,1,0
5,7,Medium,32,36,male,4,male,0.89,0,1,0
5,7,Medium,29,34,female,5,male,0.69,1,1,0
5,7,Medium,28,29,female,1,female,0.45,0,0,1
5,7,Medium,29,31,female,2,female,0.53,0,0,1
5,7,Medium,27,28,female,1,female,0.43,0,0,1
5,7,Medium,20,25,female,5,female,0.32,0,0,1
5,8,Low,NA,21,NA,NA,male,0.17,NA,1,0
5,8,Low,NA,21,NA,NA,immature,0.13,NA,0,0
5,8,Low,30,35,female,5,male,0.69,1,1,0
5,8,Low,33,34,male,1,transitional,0.71,1,0,0
5,8,Low,31,31,female,0,female,0.53,0,0,1
5,8,Low,29,30,female,1,female,0.46,0,0,1
5,8,Low,29,28,female,NA,female,0.44,0,0,1
5,8,Low,29,32,female,3,female,0.54,0,0,1
5,9,High,NA,21,NA,NA,female,0.21,NA,0,1
5,9,High,32,34,male,2,female,0.64,1,0,1
5,9,High,33,35,male,2,male,0.77,0,1,0
5,10,Medium,23,25,female,2,female,0.31,0,0,1
5,10,Medium,28,29,female,1,male,0.4,1,1,0
5,10,Medium,39,39,male,0,male,0.91,0,1,0
5,10,Medium,32,36,male,4,male,0.87,0,1,0
5,10,Medium,28,29,female,1,female,0.39,0,0,1
5,11,Low,NA,11,NA,NA,immature,0.02,NA,0,0
5,11,Low,NA,23,NA,NA,female,0.22,NA,0,1
5,11,Low,NA,20,NA,NA,male,0.16,NA,1,0
5,11,Low,29,31,female,2,male,0.5,1,1,0
5,11,Low,27,28,female,1,female,0.38,0,0,1
5,11,Low,27,30,female,3,female,0.49,0,0,1
5,11,Low,34,35,male,1,male,0.68,0,1,0
5,12,High,NA,21,NA,NA,immature,0.17,NA,0,0
5,13,Low,NA,20,NA,NA,immature,0.16,NA,0,0
5,14,Medium,25,31,female,6,male,0.52,1,1,0
5,14,Medium,29,30,female,1,transitional,0.49,1,0,0
5,14,Medium,29,31,female,2,female,0.51,0,0,1
5,14,Medium,NA,26,NA,NA,female,0.28,NA,0,1
5,14,Medium,28,31,female,3,female,0.5,0,0,1
5,15,High,31,31,female,0,transitional,0.52,1,0,0
5,15,High,NA,17,NA,NA,immature,0.09,NA,0,0
5,15,High,31,35,female,4,male,0.74,1,1,0
5,15,High,31,33,female,2,male,0.57,1,1,0
5,15,High,29,30,female,1,female,0.46,0,0,1
5,15,High,32,31,male,NA,male,0.47,0,1,0
5,15,High,27,28,female,1,female,0.41,0,0,1
5,15,High,30,34,female,4,transitional,0.8,1,0,0
5,15,High,28,30,female,2,male,0.47,1,1,0
5,15,High,29,30,female,1,female,0.53,0,0,1
5,15,High,25,26,female,1,female,0.34,0,0,1
5,16,Medium,NA,20,NA,NA,male,0.14,NA,1,0
5,16,Medium,27,28,female,1,female,0.4,0,0,1
5,16,Medium,28,29,female,1,female,0.4,0,0,1
5,16,Medium,28,30,female,2,female,0.45,0,0,1
5,16,Medium,30,31,female,1,transitional,0.54,1,0,0
5,16,Medium,30,30,female,0,female,0.58,0,0,1
5,17,Low,23,26,female,3,female,0.37,0,0,1
5,17,Low,27,29,female,2,female,0.5,0,0,1
5,17,Low,28,29,female,1,female,0.4,0,0,1
5,17,Low,30,31,female,1,female,0.54,0,0,1
5,17,Low,33,34,male,1,male,0.77,0,1,0
5,18,High,25,27,female,2,female,0.35,0,0,1
5,18,High,30,34,female,4,male,0.63,1,1,0
5,18,High,NA,17,NA,NA,immature,0.1,NA,0,0
5,18,High,22,25,female,3,female,0.26,0,0,1
5,18,High,29,31,female,2,transitional,0.45,1,0,0
5,18,High,27,31,female,4,male,0.55,1,1,0
5,18,High,23,26,female,3,male,0.3,1,1,0
5,18,High,30,28,female,NA,female,0.4,0,0,1
