year,Trial,Trial.duration,Reef,Treatment,Initial.size,Final.size,Initial.sex,Growth,Final.sex,Final.sex.female.transitional.equals.female,final.Weight.g,Male,Female,Transitional,Immature,Initial.reef.biomass,,,,
2018,June,30,17,Medium,33,36,male,3,male,male,0.87,1,0,0,0,,,,,
2018,June,30,17,Medium,40,40,male,0,male,male,0.9,1,0,0,0,,,,,
2018,June,30,17,Medium,31,36,female,5,male,male,0.84,1,0,0,0,,,,,
2018,June,30,17,Medium,24,27,female,3,female,female,0.38,0,1,0,0,,,,,
2018,June,30,17,Medium,26,28,female,2,female,female,0.41,0,1,0,0,,,,,
2018,June,30,17,Medium,24,26,female,2,male,male,0.27,1,0,0,0,,,,,
2018,June,30,17,Medium,25,26,female,1,female,female,0.33,0,1,0,0,,,,,
2018,June,30,17,Medium,23,26,female,3,female,female,0.28,0,1,0,0,,,,,
2018,June,30,17,Medium,27,29,female,2,female,female,0.44,0,1,0,0,,,,,
2018,June,30,17,Medium,29,31,female,2,female,female,0.53,0,1,0,0,,,,,
2018,June,30,17,Medium,30,31,female,1,female,female,0.54,0,1,0,0,,,,,
2018,June,30,17,Medium,28,31,female,3,female,female,0.53,0,1,0,0,,,,,
2018,June,30,17,Medium,26,29,female,3,female,female,0.46,0,1,0,0,,,,,
2018,June,30,17,Medium,29,31,female,2,female,female,0.52,0,1,0,0,,,,,
2018,June,30,17,Medium,30,32,female,2,male,male,0.64,1,0,0,0,,,,,
2018,June,30,17,Medium,31,32,female,1,female,female,0.63,0,1,0,0,,,,,
2018,June,30,18,High,NA,10,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,June,30,18,High,NA,11,NA,NA,immature,immature,0.05,0,0,0,1,,,,,
2018,June,30,18,High,26,31,female,5,male,male,0.53,1,0,0,0,,,,,
2018,June,30,18,High,24,27,female,3,female,female,0.37,0,1,0,0,,,,,
2018,June,30,18,High,29,32,female,3,male,male,0.62,1,0,0,0,,,,,
2018,June,30,18,High,28,29,female,1,female,female,0.44,0,1,0,0,,,,,
2018,June,30,18,High,29,32,female,3,transitional,female,0.57,0,0,1,0,,,,,
2018,August,14,1,Low,24,26,female,2,female,female,0.32,0,1,0,0,,,,,
2018,August,14,2,Control,21,23,female,2,female,female,0.22,0,1,0,0,,,,,
2018,August,14,2,Control,NA,12,NA,NA,immature,immature,0.02,0,0,0,1,,,,,
2018,August,14,3,Medium,23,25,female,2,female,female,0.26,0,1,0,0,,,,,
2018,August,14,3,Medium,27,31,female,4,male,male,0.46,1,0,0,0,,,,,
2018,August,14,3,Medium,23,23,female,0,female,female,0.24,0,1,0,0,,,,,
2018,August,14,3,Medium,25,26,female,1,male,male,0.34,1,0,0,0,,,,,
2018,August,14,3,Medium,26,28,female,2,female,female,0.34,0,1,0,0,,,,,
2018,August,14,4,Low,NA,12,NA,NA,immature,immature,0.02,0,0,0,1,,,,,
2018,August,14,4,Low,23,26,female,3,transitional,female,0.32,0,0,1,0,,,,,
2018,August,14,5,Control,22,24,female,2,female,female,0.28,0,1,0,0,,,,,
2018,August,14,5,Control,21,21,female,0,female,female,0.18,0,1,0,0,,,,,
2018,August,14,5,Control,24,25,female,1,male,male,0.32,1,0,0,0,,,,,
2018,August,14,6,Medium,22,24,female,2,transitional,female,0.3,0,0,1,0,,,,,
2018,August,14,6,Medium,25,25,female,0,female,female,0.26,0,1,0,0,,,,,
2018,August,14,6,Medium,24,27,female,3,female,female,0.36,0,1,0,0,,,,,
2018,August,14,6,Medium,NA,27,NA,NA,male,male,0.36,1,0,0,0,,,,,
2018,August,14,6,Medium,22,22,female,0,female,female,0.24,0,1,0,0,,,,,
2018,August,14,6,Medium,NA,29,NA,NA,male,male,0.46,1,0,0,0,,,,,
2018,August,14,7,High,21,22,female,1,female,female,0.18,0,1,0,0,,,,,
2018,August,14,7,High,25,27,female,2,male,male,0.34,1,0,0,0,,,,,
2018,August,14,7,High,23,23,female,0,female,female,0.26,0,1,0,0,,,,,
2018,August,14,7,High,28,28,female,0,female,female,0.42,0,1,0,0,,,,,
2018,August,14,7,High,33,33,male,0,transitional,female,0.64,0,0,1,0,,,,,
2018,August,14,8,Control,22,23,female,1,female,female,0.24,0,1,0,0,,,,,
2018,August,14,8,Control,29,30,female,1,transitional,female,0.48,0,0,1,0,,,,,
2018,August,14,8,Control,26,29,female,3,male,male,0.42,1,0,0,0,,,,,
2018,August,14,8,Control,23,26,female,3,male,male,0.3,1,0,0,0,,,,,
2018,August,14,8,Control,20,21,female,1,female,female,0.2,0,1,0,0,,,,,
2018,August,14,8,Control,27,27,female,0,female,female,0.32,0,1,0,0,,,,,
2018,August,14,9,Low,21,24,female,3,male,male,0.26,1,0,0,0,,,,,
2018,August,14,9,Low,31,31,male,0,female,female,0.54,0,1,0,0,,,,,
2018,August,14,9,Low,28,29,female,1,female,female,0.42,0,1,0,0,,,,,
2018,August,14,9,Low,23,26,female,3,female,female,0.3,0,1,0,0,,,,,
2018,August,14,9,Low,33,35,male,2,transitional,female,0.7,0,0,1,0,,,,,
2018,August,14,10,High,23,25,female,2,female,female,0.24,0,1,0,0,,,,,
2018,August,14,10,High,NA,18,NA,NA,immature,immature,0.14,0,0,0,1,,,,,
2018,August,14,10,High,31,39,male,8,male,male,0.94,1,0,0,0,,,,,
2018,August,14,10,High,21,23,female,2,male,male,0.24,1,0,0,0,,,,,
2018,August,14,10,High,NA,16,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,August,14,10,High,21,23,female,2,female,female,0.22,0,1,0,0,,,,,
2018,August,14,11,Medium,27,29,female,2,male,male,0.44,1,0,0,0,,,,,
2018,August,14,12,Control,24,26,female,2,female,female,0.28,0,1,0,0,,,,,
2018,August,14,13,Low,24,27,female,3,female,female,0.32,0,1,0,0,,,,,
2018,August,14,13,Low,28,30,female,2,transitional,female,0.5,0,0,1,0,,,,,
2018,August,14,13,Low,25,25,female,0,female,female,0.3,0,1,0,0,,,,,
2018,August,14,14,Medium,25,26,female,1,male,male,0.32,1,0,0,0,,,,,
2018,August,14,15,High,30,31,female,1,transitional,female,0.44,0,0,1,0,,,,,
2018,August,14,15,High,28,28,female,0,female,female,0.42,0,1,0,0,,,,,
2018,August,14,15,High,21,24,female,3,male,male,0.26,1,0,0,0,,,,,
2018,August,14,15,High,21,24,female,3,female,female,0.24,0,1,0,0,,,,,
2018,August,14,16,Low,22,23,female,1,female,female,0.2,0,1,0,0,,,,,
2018,August,14,16,Low,22,23,female,1,female,female,0.24,0,1,0,0,,,,,
2018,August,14,16,Low,26,29,female,3,female,female,0.46,0,1,0,0,,,,,
2018,August,14,17,High,25,29,female,4,male,male,0.4,1,0,0,0,,,,,
2018,August,14,17,High,26,27,female,1,female,female,0.32,0,1,0,0,,,,,
2018,August,14,18,Medium,22,25,female,3,female,female,0.26,0,1,0,0,,,,,
2018,August,14,18,Medium,28,28,female,0,female,female,0.4,0,1,0,0,,,,,
2018,August,14,19,Control,NA,11,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,August,14,19,Control,27,28,female,1,male,male,0.38,1,0,0,0,,,,,
2018,August,14,19,Control,21,22,female,1,female,female,0.22,0,1,0,0,,,,,
2018,August,14,19,Control,24,25,female,1,female,female,0.26,0,1,0,0,,,,,
2018,August,14,20,High,30,30,female,0,female,female,0.4,0,1,0,0,,,,,
2018,August,14,20,High,24,26,female,2,female,female,0.3,0,1,0,0,,,,,
2018,August,14,20,High,29,30,female,1,male,male,0.44,1,0,0,0,,,,,
2018,August,14,20,High,21,22,female,1,female,female,0.18,0,1,0,0,,,,,
2018,July,30,1,High,27,29,female,2,male,male,0.4,1,0,0,0,,,,,
2018,July,30,1,High,30,30,female,0,female,female,0.5,0,1,0,0,,,,,
2018,July,30,1,High,34,34,male,0,male,male,0.65,1,0,0,0,,,,,
2018,July,30,1,High,NA,21,NA,NA,female,female,0.18,0,1,0,0,,,,,
2018,July,30,1,High,NA,16,NA,NA,immature,immature,NA,0,0,0,1,,,,,
2018,July,30,2,Low,22,27,female,5,female,female,0.36,0,1,0,0,,,,,
2018,July,30,2,Low,28,28,female,0,female,female,0.48,0,1,0,0,,,,,
2018,July,30,2,Low,33,36,male,3,male,male,0.76,1,0,0,0,,,,,
2018,July,30,2,Low,30,31,female,1,female,female,0.53,0,1,0,0,,,,,
2018,July,30,2,Low,33,35,male,2,female,female,0.82,0,1,0,0,,,,,
2018,July,30,2,Low,29,31,female,2,male,male,0.57,1,0,0,0,,,,,
2018,July,30,2,Low,25,26,female,1,transitional,female,0.32,0,0,1,0,,,,,
2018,July,30,2,Low,27,29,female,2,female,female,0.43,0,1,0,0,,,,,
2018,July,30,2,Low,28,30,female,2,female,female,0.54,0,1,0,0,,,,,
2018,July,30,2,Low,30,32,female,2,female,female,0.49,0,1,0,0,,,,,
2018,July,30,3,Medium,23,27,female,4,female,female,0.38,0,1,0,0,,,,,
2018,July,30,3,Medium,28,29,female,1,female,female,0.48,0,1,0,0,,,,,
2018,July,30,3,Medium,22,26,female,4,female,female,0.33,0,1,0,0,,,,,
2018,July,30,3,Medium,34,36,male,2,male,male,0.91,1,0,0,0,,,,,
2018,July,30,3,Medium,33,35,male,2,female,female,0.69,0,1,0,0,,,,,
2018,July,30,3,Medium,31,34,female,3,female,female,0.82,0,1,0,0,,,,,
2018,July,30,3,Medium,30,31,female,1,female,female,0.59,0,1,0,0,,,,,
2018,July,30,4,Low,NA,10,NA,NA,immature,immature,NA,0,0,0,1,,,,,
2018,July,30,4,Low,NA,23,NA,NA,immature,immature,0.23,0,0,0,1,,,,,
2018,July,30,4,Low,28,29,female,1,female,female,0.4,0,1,0,0,,,,,
2018,July,30,4,Low,26,29,female,3,female,female,0.38,0,1,0,0,,,,,
2018,July,30,4,Low,25,27,female,2,male,male,0.35,1,0,0,0,,,,,
2018,July,30,4,Low,30,31,female,1,male,male,0.52,1,0,0,0,,,,,
2018,July,30,4,Low,23,26,female,3,female,female,0.35,0,1,0,0,,,,,
2018,July,30,5,Medium,30,33,female,3,male,male,0.87,1,0,0,0,,,,,
2018,July,30,5,Medium,31,32,female,1,female,female,0.65,0,1,0,0,,,,,
2018,July,30,5,Medium,29,31,female,2,female,female,0.5,0,1,0,0,,,,,
2018,July,30,5,Medium,29,31,female,2,female,female,0.54,0,1,0,0,,,,,
2018,July,30,5,Medium,28,28,female,0,female,female,0.51,0,1,0,0,,,,,
2018,July,30,5,Medium,32,35,male,3,transitional,female,0.74,0,0,1,0,,,,,
2018,July,30,5,Medium,29,31,female,2,male,male,0.83,1,0,0,0,,,,,
2018,July,30,6,High,30,32,female,2,transitional,female,0.56,0,0,1,0,,,,,
2018,July,30,6,High,NA,20,NA,NA,female,female,0.17,0,1,0,0,,,,,
2018,July,30,6,High,NA,14,NA,NA,immature,immature,NA,0,0,0,1,,,,,
2018,July,30,6,High,28,29,female,1,female,female,0.42,0,1,0,0,,,,,
2018,July,30,7,Medium,20,26,female,6,female,female,0.32,0,1,0,0,,,,,
2018,July,30,7,Medium,22,26,female,4,female,female,0.29,0,1,0,0,,,,,
2018,July,30,7,Medium,35,36,male,1,male,male,0.82,1,0,0,0,,,,,
2018,July,30,7,Medium,32,36,male,4,male,male,0.89,1,0,0,0,,,,,
2018,July,30,7,Medium,29,34,female,5,male,male,0.69,1,0,0,0,,,,,
2018,July,30,7,Medium,28,29,female,1,female,female,0.45,0,1,0,0,,,,,
2018,July,30,7,Medium,29,31,female,2,female,female,0.53,0,1,0,0,,,,,
2018,July,30,7,Medium,27,28,female,1,female,female,0.43,0,1,0,0,,,,,
2018,July,30,7,Medium,20,25,female,5,female,female,0.32,0,1,0,0,,,,,
2018,July,30,8,Low,NA,21,NA,NA,male,male,0.17,1,0,0,0,,,,,
2018,July,30,8,Low,NA,21,NA,NA,immature,immature,0.13,0,0,0,1,,,,,
2018,July,30,8,Low,30,35,female,5,male,male,0.69,1,0,0,0,,,,,
2018,July,30,8,Low,33,34,male,1,transitional,female,0.71,0,0,1,0,,,,,
2018,July,30,8,Low,31,31,female,0,female,female,0.53,0,1,0,0,,,,,
2018,July,30,8,Low,29,30,female,1,female,female,0.46,0,1,0,0,,,,,
2018,July,30,8,Low,29,28,female,-1,female,female,0.44,0,1,0,0,,,,,
2018,July,30,8,Low,29,32,female,3,female,female,0.54,0,1,0,0,,,,,
2018,July,30,9,High,NA,21,NA,NA,female,female,0.21,0,1,0,0,,,,,
2018,July,30,9,High,32,34,male,2,female,female,0.64,0,1,0,0,,,,,
2018,July,30,9,High,33,35,male,2,male,male,0.77,1,0,0,0,,,,,
2018,July,30,10,Medium,23,25,female,2,female,female,0.31,0,1,0,0,,,,,
2018,July,30,10,Medium,28,29,female,1,male,male,0.4,1,0,0,0,,,,,
2018,July,30,10,Medium,39,39,male,0,male,male,0.91,1,0,0,0,,,,,
2018,July,30,10,Medium,32,36,male,4,male,male,0.87,1,0,0,0,,,,,
2018,July,30,10,Medium,28,29,female,1,female,female,0.39,0,1,0,0,,,,,
2018,July,30,11,Low,NA,11,NA,NA,immature,immature,0.02,0,0,0,1,,,,,
2018,July,30,11,Low,NA,23,NA,NA,female,female,0.22,0,1,0,0,,,,,
2018,July,30,11,Low,NA,20,NA,NA,male,male,0.16,1,0,0,0,,,,,
2018,July,30,11,Low,29,31,female,2,male,male,0.5,1,0,0,0,,,,,
2018,July,30,11,Low,27,28,female,1,female,female,0.38,0,1,0,0,,,,,
2018,July,30,11,Low,27,30,female,3,female,female,0.49,0,1,0,0,,,,,
2018,July,30,11,Low,34,35,male,1,male,male,0.68,1,0,0,0,,,,,
2018,July,30,12,High,NA,21,NA,NA,immature,immature,0.17,0,0,0,1,,,,,
2018,July,30,13,Low,NA,20,NA,NA,immature,immature,0.16,0,0,0,1,,,,,
2018,July,30,14,Medium,25,31,female,6,male,male,0.52,1,0,0,0,,,,,
2018,July,30,14,Medium,29,30,female,1,transitional,female,0.49,0,0,1,0,,,,,
2018,July,30,14,Medium,29,31,female,2,female,female,0.51,0,1,0,0,,,,,
2018,July,30,14,Medium,NA,26,NA,NA,female,female,0.28,0,1,0,0,,,,,
2018,July,30,14,Medium,28,31,female,3,female,female,0.5,0,1,0,0,,,,,
2018,July,30,15,High,31,31,female,0,transitional,female,0.52,0,0,1,0,,,,,
2018,July,30,15,High,NA,17,NA,NA,immature,immature,0.09,0,0,0,1,,,,,
2018,July,30,15,High,31,35,female,4,male,male,0.74,1,0,0,0,,,,,
2018,July,30,15,High,31,33,female,2,male,male,0.57,1,0,0,0,,,,,
2018,July,30,15,High,29,30,female,1,female,female,0.46,0,1,0,0,,,,,
2018,July,30,15,High,32,31,male,-1,male,male,0.47,1,0,0,0,,,,,
2018,July,30,15,High,27,28,female,1,female,female,0.41,0,1,0,0,,,,,
2018,July,30,15,High,30,34,female,4,transitional,female,0.8,0,0,1,0,,,,,
2018,July,30,15,High,28,30,female,2,male,male,0.47,1,0,0,0,,,,,
2018,July,30,15,High,29,30,female,1,female,female,0.53,0,1,0,0,,,,,
2018,July,30,15,High,25,26,female,1,female,female,0.34,0,1,0,0,,,,,
2018,July,30,16,Medium,NA,20,NA,NA,male,male,0.14,1,0,0,0,,,,,
2018,July,30,16,Medium,27,28,female,1,female,female,0.4,0,1,0,0,,,,,
2018,July,30,16,Medium,28,29,female,1,female,female,0.4,0,1,0,0,,,,,
2018,July,30,16,Medium,28,30,female,2,female,female,0.45,0,1,0,0,,,,,
2018,July,30,16,Medium,30,31,female,1,transitional,female,0.54,0,0,1,0,,,,,
2018,July,30,16,Medium,30,30,female,0,female,female,0.58,0,1,0,0,,,,,
2018,July,30,17,Low,23,26,female,3,female,female,0.37,0,1,0,0,,,,,
2018,July,30,17,Low,27,29,female,2,female,female,0.5,0,1,0,0,,,,,
2018,July,30,17,Low,28,29,female,1,female,female,0.4,0,1,0,0,,,,,
2018,July,30,17,Low,30,31,female,1,female,female,0.54,0,1,0,0,,,,,
2018,July,30,17,Low,33,34,male,1,male,male,0.77,1,0,0,0,,,,,
2018,July,30,18,High,25,27,female,2,female,female,0.35,0,1,0,0,,,,,
2018,July,30,18,High,30,34,female,4,male,male,0.63,1,0,0,0,,,,,
2018,July,30,18,High,NA,17,NA,NA,immature,immature,0.1,0,0,0,1,,,,,
2018,July,30,18,High,22,25,female,3,female,female,0.26,0,1,0,0,,,,,
2018,July,30,18,High,29,31,female,2,transitional,female,0.45,0,0,1,0,,,,,
2018,July,30,18,High,27,31,female,4,male,male,0.55,1,0,0,0,,,,,
2018,July,30,18,High,23,26,female,3,male,male,0.3,1,0,0,0,,,,,
2018,July,30,18,High,30,28,female,-2,female,female,0.4,0,1,0,0,,,,,
2017,June,14,1,Low,28,27,female,-1,female,female,0.35,0,1,0,0,,,,,
2017,June,14,1,Low,26,28,female,2,female,female,0.39,0,1,0,0,,,,,
2017,June,14,1,Low,27,27,female,0,female,female,0.35,0,1,0,0,,,,,
2017,June,14,1,Low,24,26,male,2,male,male,0.31,1,0,0,0,,,,,
2017,June,14,2,Medium,27,29,female,2,female,female,0.43,0,1,0,0,,,,,
2017,June,14,2,Medium,28,28,female,0,female,female,0.39,0,1,0,0,,,,,
2017,June,14,2,Medium,27,28,female,1,female,female,0.39,0,1,0,0,,,,,
2017,June,14,2,Medium,32,31,female,-1,female,female,0.52,0,1,0,0,,,,,
2017,June,14,3,Low,28,30,female,2,female,female,0.47,0,1,0,0,,,,,
