Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,count.prop,prop.threat
GCJ,5,4,Low,18,540,23399,PACL,0,0,0,0,0,0
GCJ,5,4,Low,20,600,23459,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,20,600,23459,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,20,600,23459,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,20,600,23459,PACL,0,0,0,0,0,0
GCJ,5,4,Low,22,660,23519,FSEPU,1,1,1,1,1,0
GCJ,5,4,Low,22,660,23519,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,22,660,23519,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,22,660,23519,PACL,0,0,0,0,0,0
GCJ,5,4,Low,24,720,23579,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,24,720,23579,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,24,720,23579,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,24,720,23579,PACL,0,0,0,0,0,0
GCJ,5,4,Low,26,780,23639,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,26,780,23639,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,26,780,23639,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,26,780,23639,PACL,0,0,0,0,0,0
GCJ,5,4,Low,28,840,23699,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,28,840,23699,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,28,840,23699,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,28,840,23699,PACL,0,0,0,0,0,0
GCJ,5,4,Low,30,900,23759,PACL,1,3,1,3,1,0
GCJ,5,4,Low,30,900,23759,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,30,900,23759,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,30,900,23759,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,32,960,23819,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,32,960,23819,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,32,960,23819,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,32,960,23819,PACL,0,0,0,0,0,0
GCJ,5,4,Low,34,1020,23879,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,34,1020,23879,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,34,1020,23879,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,34,1020,23879,PACL,0,0,0,0,0,0
GCJ,5,4,Low,36,1080,23939,PACL,1,3,1,3,1,0
GCJ,5,4,Low,36,1080,23939,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,36,1080,23939,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,36,1080,23939,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,38,1140,23999,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,38,1140,23999,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,38,1140,23999,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,38,1140,23999,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,2,60,20015,PACL,1,2,1,2,1,0
GCJ,5,7,Medium,2,60,20015,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,2,60,20015,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,2,60,20015,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,4,120,20075,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,4,120,20075,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,4,120,20075,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,4,120,20075,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,6,180,20135,FHASE,1,1,1,1,1,0
GCJ,5,7,Medium,6,180,20135,FSEPU,1,1,1,1,1,0
GCJ,5,7,Medium,6,180,20135,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,6,180,20135,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,8,240,20195,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,8,240,20195,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,8,240,20195,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,8,240,20195,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,10,300,20255,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,10,300,20255,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,10,300,20255,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,10,300,20255,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,12,360,20315,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,12,360,20315,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,12,360,20315,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,12,360,20315,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,14,420,20375,FHASE,1,3,1,3,1,0
GCJ,5,7,Medium,14,420,20375,MHASE,1,3,1,3,1,0
GCJ,5,7,Medium,14,420,20375,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,14,420,20375,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,16,480,20435,FHASE,1,2,1,2,1,0
GCJ,5,7,Medium,16,480,20435,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,16,480,20435,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,16,480,20435,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,18,540,20495,FHASE,1,3,1,3,1,0
GCJ,5,7,Medium,18,540,20495,FSEPU,1,2,1,2,1,0
GCJ,5,7,Medium,18,540,20495,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,18,540,20495,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,20,600,20555,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,20,600,20555,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,20,600,20555,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,20,600,20555,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,22,660,20615,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,22,660,20615,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,22,660,20615,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,22,660,20615,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,24,720,20675,FHASE,1,1,1,1,1,0
GCJ,5,7,Medium,24,720,20675,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,24,720,20675,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,24,720,20675,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,26,780,20735,MHASE,1,3,1,3,1,0
GCJ,5,7,Medium,26,780,20735,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,26,780,20735,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,26,780,20735,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,28,840,20795,MHASE,1,2,1,2,1,0
GCJ,5,7,Medium,28,840,20795,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,28,840,20795,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,28,840,20795,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,30,900,20855,PACL,1,3,1,3,1,0
GCJ,5,7,Medium,30,900,20855,FHASE,1,1,1,1,1,0
GCJ,5,7,Medium,30,900,20855,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,30,900,20855,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,32,960,20915,FHASE,1,4,1,4,1,1
GCJ,5,7,Medium,32,960,20915,MHASE,3,4,3,4,1,1
GCJ,5,7,Medium,32,960,20915,PACL,1,1,1,1,1,0
GCJ,5,7,Medium,32,960,20915,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,34,1020,20975,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,34,1020,20975,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,34,1020,20975,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,34,1020,20975,PACL,0,0,0,0,0,0
GCJ,5,7,Medium,36,1080,21035,FHASE,0,0,0,0,0,0
GCJ,5,7,Medium,36,1080,21035,FSEPU,0,0,0,0,0,0
GCJ,5,7,Medium,36,1080,21035,MHASE,0,0,0,0,0,0
GCJ,5,7,Medium,36,1080,21035,PACL,0,0,0,0,0,0
GCJ,5,8,Low,2,60,13129,MHASE,2,3,2,3,1,0
GCJ,5,8,Low,2,60,13129,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,2,60,13129,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,2,60,13129,PACL,0,0,0,0,0,0
GCJ,5,8,Low,4,120,13189,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,4,120,13189,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,4,120,13189,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,4,120,13189,PACL,0,0,0,0,0,0
GCJ,5,8,Low,6,180,13249,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,6,180,13249,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,6,180,13249,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,6,180,13249,PACL,0,0,0,0,0,0
GCJ,5,8,Low,8,240,13309,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,8,240,13309,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,8,240,13309,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,8,240,13309,PACL,0,0,0,0,0,0
GCJ,5,8,Low,10,300,13369,MHASE,1,3,1,3,1,0
GCJ,5,8,Low,10,300,13369,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,10,300,13369,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,10,300,13369,PACL,0,0,0,0,0,0
GCJ,5,8,Low,12,360,13429,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,12,360,13429,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,12,360,13429,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,12,360,13429,PACL,0,0,0,0,0,0
GCJ,5,8,Low,14,420,13489,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,14,420,13489,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,14,420,13489,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,14,420,13489,PACL,0,0,0,0,0,0
GCJ,5,8,Low,16,480,13549,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,16,480,13549,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,16,480,13549,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,16,480,13549,PACL,0,0,0,0,0,0
GCJ,5,8,Low,18,540,13609,FHASE,1,2,1,2,1,0
GCJ,5,8,Low,18,540,13609,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,18,540,13609,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,18,540,13609,PACL,0,0,0,0,0,0
GCJ,5,8,Low,20,600,13669,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,20,600,13669,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,20,600,13669,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,20,600,13669,PACL,0,0,0,0,0,0
GCJ,5,8,Low,22,660,13819,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,22,660,13819,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,22,660,13819,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,22,660,13819,PACL,0,0,0,0,0,0
GCJ,5,8,Low,24,720,13879,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,24,720,13879,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,24,720,13879,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,24,720,13879,PACL,0,0,0,0,0,0
GCJ,5,8,Low,26,780,13969,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,26,780,13969,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,26,780,13969,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,26,780,13969,PACL,0,0,0,0,0,0
GCJ,5,8,Low,28,840,14029,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,28,840,14029,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,28,840,14029,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,28,840,14029,PACL,0,0,0,0,0,0
GCJ,5,8,Low,30,900,14089,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,30,900,14089,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,30,900,14089,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,30,900,14089,PACL,0,0,0,0,0,0
GCJ,5,8,Low,32,960,14149,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,32,960,14149,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,32,960,14149,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,32,960,14149,PACL,0,0,0,0,0,0
GCJ,5,8,Low,34,1020,14209,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,34,1020,14209,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,34,1020,14209,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,34,1020,14209,PACL,0,0,0,0,0,0
GCJ,5,8,Low,36,1080,14269,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,36,1080,14269,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,36,1080,14269,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,36,1080,14269,PACL,0,0,0,0,0,0
GCJ,5,8,Low,38,1140,14329,FHASE,0,0,0,0,0,0
GCJ,5,8,Low,38,1140,14329,FSEPU,0,0,0,0,0,0
GCJ,5,8,Low,38,1140,14329,MHASE,0,0,0,0,0,0
GCJ,5,8,Low,38,1140,14329,PACL,0,0,0,0,0,0
GCJ,5,9,High,2,60,10763,FHASE,0,0,0,0,0,0
GCJ,5,9,High,2,60,10763,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,2,60,10763,MHASE,0,0,0,0,0,0
GCJ,5,9,High,2,60,10763,PACL,0,0,0,0,0,0
GCJ,5,9,High,4,120,10823,FSEPU,1,3,1,3,1,0
GCJ,5,9,High,4,120,10823,FHASE,0,0,0,0,0,0
GCJ,5,9,High,4,120,10823,MHASE,0,0,0,0,0,0
GCJ,5,9,High,4,120,10823,PACL,0,0,0,0,0,0
GCJ,5,9,High,6,180,10883,FHASE,0,0,0,0,0,0
GCJ,5,9,High,6,180,10883,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,6,180,10883,MHASE,0,0,0,0,0,0
GCJ,5,9,High,6,180,10883,PACL,0,0,0,0,0,0
GCJ,5,9,High,8,240,10943,FHASE,0,0,0,0,0,0
GCJ,5,9,High,8,240,10943,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,8,240,10943,MHASE,0,0,0,0,0,0
GCJ,5,9,High,8,240,10943,PACL,0,0,0,0,0,0
GCJ,5,9,High,10,300,11003,FHASE,0,0,0,0,0,0
GCJ,5,9,High,10,300,11003,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,10,300,11003,MHASE,0,0,0,0,0,0
GCJ,5,9,High,10,300,11003,PACL,0,0,0,0,0,0
GCJ,5,9,High,12,360,11063,FHASE,0,0,0,0,0,0
GCJ,5,9,High,12,360,11063,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,12,360,11063,MHASE,0,0,0,0,0,0
GCJ,5,9,High,12,360,11063,PACL,0,0,0,0,0,0
GCJ,5,9,High,14,420,11123,FHASE,2,3,2,3,1,0
GCJ,5,9,High,14,420,11123,FSEPU,1,3,1,3,1,0
GCJ,5,9,High,14,420,11123,MHASE,3,2,3,2,1,0
GCJ,5,9,High,14,420,11123,PACL,0,0,0,0,0,0
GCJ,5,9,High,16,480,11183,FHASE,0,0,0,0,0,0
GCJ,5,9,High,16,480,11183,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,16,480,11183,MHASE,0,0,0,0,0,0
GCJ,5,9,High,16,480,11183,PACL,0,0,0,0,0,0
GCJ,5,9,High,18,540,11243,MHASE,1,4,1,4,1,1
GCJ,5,9,High,18,540,11243,FHASE,0,0,0,0,0,0
GCJ,5,9,High,18,540,11243,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,18,540,11243,PACL,0,0,0,0,0,0
GCJ,5,9,High,20,600,11303,PACL,2,4,2,4,1,1
GCJ,5,9,High,20,600,11303,FHASE,0,0,0,0,0,0
GCJ,5,9,High,20,600,11303,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,20,600,11303,MHASE,0,0,0,0,0,0
GCJ,5,9,High,22,660,11363,FHASE,0,0,0,0,0,0
GCJ,5,9,High,22,660,11363,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,22,660,11363,MHASE,0,0,0,0,0,0
GCJ,5,9,High,22,660,11363,PACL,0,0,0,0,0,0
GCJ,5,9,High,24,720,11423,FHASE,0,0,0,0,0,0
GCJ,5,9,High,24,720,11423,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,24,720,11423,MHASE,0,0,0,0,0,0
GCJ,5,9,High,24,720,11423,PACL,0,0,0,0,0,0
GCJ,5,9,High,26,780,11483,FHASE,0,0,0,0,0,0
GCJ,5,9,High,26,780,11483,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,26,780,11483,MHASE,0,0,0,0,0,0
GCJ,5,9,High,26,780,11483,PACL,0,0,0,0,0,0
GCJ,5,9,High,28,840,11543,PACL,1,5,1,5,1,1
GCJ,5,9,High,28,840,11543,FSEPU,1,1,1,1,1,0
GCJ,5,9,High,28,840,11543,FHASE,0,0,0,0,0,0
GCJ,5,9,High,28,840,11543,MHASE,0,0,0,0,0,0
GCJ,5,9,High,30,900,11603,FSEPU,1,4,1,4,1,1
GCJ,5,9,High,30,900,11603,MHASE,1,1,1,1,1,0
GCJ,5,9,High,30,900,11603,FHASE,0,0,0,0,0,0
GCJ,5,9,High,30,900,11603,PACL,0,0,0,0,0,0
GCJ,5,9,High,32,960,11663,FHASE,0,0,0,0,0,0
GCJ,5,9,High,32,960,11663,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,32,960,11663,MHASE,0,0,0,0,0,0
GCJ,5,9,High,32,960,11663,PACL,0,0,0,0,0,0
GCJ,5,9,High,34,1020,11723,FHASE,0,0,0,0,0,0
GCJ,5,9,High,34,1020,11723,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,34,1020,11723,MHASE,0,0,0,0,0,0
GCJ,5,9,High,34,1020,11723,PACL,0,0,0,0,0,0
GCJ,5,9,High,36,1080,11783,FHASE,0,0,0,0,0,0
GCJ,5,9,High,36,1080,11783,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,36,1080,11783,MHASE,0,0,0,0,0,0
GCJ,5,9,High,36,1080,11783,PACL,0,0,0,0,0,0
GCJ,5,9,High,38,1140,11843,FHASE,0,0,0,0,0,0
GCJ,5,9,High,38,1140,11843,FSEPU,0,0,0,0,0,0
GCJ,5,9,High,38,1140,11843,MHASE,0,0,0,0,0,0
GCJ,5,9,High,38,1140,11843,PACL,0,0,0,0,0,0
GCJ,5,9,High,40,1200,11903,FSEPU,2,5,2,5,1,1
GCJ,5,9,High,40,1200,11903,FHASE,0,0,0,0,0,0
GCJ,5,9,High,40,1200,11903,MHASE,0,0,0,0,0,0
GCJ,5,9,High,40,1200,11903,PACL,0,0,0,0,0,0
GCJ,5,11,Low,2,60,19621,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,2,60,19621,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,2,60,19621,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,2,60,19621,PACL,0,0,0,0,0,0
GCJ,5,11,Low,4,120,19681,MHASE,1,3,1,3,1,0
GCJ,5,11,Low,4,120,19681,PACL,1,3,1,3,1,0
GCJ,5,11,Low,4,120,19681,FSEPU,1,2,1,2,1,0
GCJ,5,11,Low,4,120,19681,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,6,180,19741,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,6,180,19741,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,6,180,19741,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,6,180,19741,PACL,0,0,0,0,0,0
GCJ,5,11,Low,8,240,19801,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,8,240,19801,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,8,240,19801,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,8,240,19801,PACL,0,0,0,0,0,0
GCJ,5,11,Low,10,300,19861,FSEPU,2,3,2,3,1,0
GCJ,5,11,Low,10,300,19861,PACL,1,2,1,2,1,0
GCJ,5,11,Low,10,300,19861,MHASE,1,1,1,1,1,0
GCJ,5,11,Low,10,300,19861,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,12,360,19921,MHASE,1,2,1,2,1,0
GCJ,5,11,Low,12,360,19921,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,12,360,19921,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,12,360,19921,PACL,0,0,0,0,0,0
GCJ,5,11,Low,14,420,19981,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,14,420,19981,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,14,420,19981,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,14,420,19981,PACL,0,0,0,0,0,0
GCJ,5,11,Low,16,480,20041,PACL,1,2,1,2,1,0
GCJ,5,11,Low,16,480,20041,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,16,480,20041,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,16,480,20041,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,18,540,20101,MHASE,1,2,1,2,1,0
GCJ,5,11,Low,18,540,20101,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,18,540,20101,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,18,540,20101,PACL,0,0,0,0,0,0
GCJ,5,11,Low,20,600,20161,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,20,600,20161,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,20,600,20161,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,20,600,20161,PACL,0,0,0,0,0,0
GCJ,5,11,Low,22,660,20221,PACL,1,3,1,3,1,0
GCJ,5,11,Low,22,660,20221,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,22,660,20221,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,22,660,20221,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,24,720,20281,MHASE,1,3,1,3,1,0
GCJ,5,11,Low,24,720,20281,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,24,720,20281,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,24,720,20281,PACL,0,0,0,0,0,0
GCJ,5,11,Low,26,780,20341,FHASE,1,1,1,1,1,0
GCJ,5,11,Low,26,780,20341,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,26,780,20341,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,26,780,20341,PACL,0,0,0,0,0,0
GCJ,5,11,Low,28,840,20401,FSEPU,1,2,1,2,1,0
GCJ,5,11,Low,28,840,20401,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,28,840,20401,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,28,840,20401,PACL,0,0,0,0,0,0
GCJ,5,11,Low,30,900,20471,FSEPU,1,3,1,3,1,0
GCJ,5,11,Low,30,900,20471,PACL,1,3,1,3,1,0
GCJ,5,11,Low,30,900,20471,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,30,900,20471,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,32,960,20531,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,32,960,20531,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,32,960,20531,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,32,960,20531,PACL,0,0,0,0,0,0
GCJ,5,11,Low,34,1020,20591,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,34,1020,20591,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,34,1020,20591,MHASE,0,0,0,0,0,0
GCJ,5,11,Low,34,1020,20591,PACL,0,0,0,0,0,0
GCJ,5,11,Low,36,1080,20651,FHASE,0,0,0,0,0,0
GCJ,5,11,Low,36,1080,20651,FSEPU,0,0,0,0,0,0
GCJ,5,11,Low,36,1080,20651,MHASE,0,0,0,0,0,0
