Year,Trial,Reef,Treatment,Initial.sex,Initial.length,Final.length,Initial.log.length,log.biomass,biomass,Initial.biomass.total,Initial.female.biomass,Initial.male.biomass,Final.log.length,Final.log.biomass,Biomass,Final.biomass.total,Final.biomass.female,Final.biomass.male,Avg.biomass.total,Avg.fem.biomass,Avg.male.biomass,notes
2017,1,5,Medium,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,5,Medium,Male,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,5,Medium,Male,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,5,Medium,Male,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,5,Medium,Male,38,,3.63758616,-0.070745187,0.931699271,,,,,,,,,,,,,
2017,1,6,Low,Female,25,,3.218875825,-1.274557497,0.279554644,8.853714094,6.58059043,2.273123664,,,,1.727366246,1.727366246,0,5.29054017,4.153978338,1.136561832,
2017,1,6,Low,Female,24,24,3.17805383,-1.391922691,0.24859687,,,,3.17805383,-1.391922691,0.24859687,,,,,,,
2017,1,6,Low,Female,27,27,3.295836866,-1.05329081,0.348788063,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,6,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,6,Low,Female,29,32,3.36729583,-0.847842859,0.428337922,,,,3.465735903,-0.564822924,0.568460799,,,,,,,
2017,1,6,Low,Female,26,24,3.258096538,-1.161796065,0.312923645,,,,3.17805383,-1.391922691,0.24859687,,,,,,,
2017,1,6,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,6,Low,Female,28,26,3.33220451,-0.948732087,0.387231688,,,,3.258096538,-1.161796065,0.312923645,,,,,,,
2017,1,6,Low,Female,34,,3.526360525,-0.390524226,0.676702036,,,,,,,,,,,,,
2017,1,6,Low,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,6,Low,Female,24,,3.17805383,-1.391922691,0.24859687,,,,,,,,,,,,,
2017,1,6,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,6,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,6,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,6,Low,Female,33,,3.496507561,-0.476352928,0.621044259,,,,,,,,,,,,,
2017,1,6,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,6,Low,Male,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,6,Low,Male,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,6,Low,Male,34,,3.526360525,-0.390524226,0.676702036,,,,,,,,,,,,,
2017,1,6,Low,Male,39,,3.663561646,0.003935584,1.003943338,,,,,,,,,,,,,
2017,1,7,Medium,Female,24,25,3.17805383,-1.391922691,0.24859687,8.805036116,6.382577581,2.422458536,3.218875825,-1.274557497,0.279554644,2.514521945,2.514521945,0,5.659779031,4.448549763,1.211229268,
2017,1,7,Medium,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,7,Medium,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,7,Medium,Female,29,31,3.36729583,-0.847842859,0.428337922,,,,3.433987204,-0.656101956,0.518869976,,,,,,,
2017,1,7,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,7,Medium,Female,27,28,3.295836866,-1.05329081,0.348788063,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,7,Medium,Female,28,29,3.33220451,-0.948732087,0.387231688,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,7,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,7,Medium,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,7,Medium,Female,33,,3.496507561,-0.476352928,0.621044259,,,,,,,,,,,,,
2017,1,7,Medium,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,7,Medium,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,7,Medium,Female,27,29,3.295836866,-1.05329081,0.348788063,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,7,Medium,Female,29,30,3.36729583,-0.847842859,0.428337922,,,,3.401197382,-0.75037427,0.472189793,,,,,,,
2017,1,7,Medium,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,7,Medium,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,7,Medium,Male,23,,3.135494216,-1.514283625,0.219965706,,,,,,,,,,,,,
2017,1,7,Medium,Male,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,7,Medium,Male,35,,3.555348061,-0.307183667,0.735515499,,,,,,,,,,,,,
2017,1,7,Medium,Male,40,,3.688879454,0.076725497,1.079745642,,,,,,,,,,,,,
2017,1,8,Low,Female,25,,3.218875825,-1.274557497,0.279554644,8.636760773,6.516317477,2.120443296,,,,1.900377424,1.900377424,0,5.268569099,4.208347451,1.060221648,
2017,1,8,Low,Female,23,,3.135494216,-1.514283625,0.219965706,,,,,,,,,,,,,
2017,1,8,Low,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,8,Low,Female,27,27,3.295836866,-1.05329081,0.348788063,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,8,Low,Female,26,27,3.258096538,-1.161796065,0.312923645,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,8,Low,Female,27,28,3.295836866,-1.05329081,0.348788063,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,8,Low,Female,28,29,3.33220451,-0.948732087,0.387231688,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,8,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,8,Low,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,8,Low,Female,38,,3.63758616,-0.070745187,0.931699271,,,,,,,,,,,,,
2017,1,8,Low,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,8,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,8,Low,Female,27,28,3.295836866,-1.05329081,0.348788063,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,8,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,8,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,8,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,8,Low,Male,22,,3.091042453,-1.642084577,0.193576097,,,,,,,,,,,,,
2017,1,8,Low,Male,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,8,Low,Male,34,,3.526360525,-0.390524226,0.676702036,,,,,,,,,,,,,
2017,1,8,Low,Male,37,,3.610917913,-0.147417677,0.862933475,,,,,,,,,,,,,
2017,1,9,High,Female,25,25,3.218875825,-1.274557497,0.279554644,8.514687123,6.446075702,2.068611421,3.218875825,-1.274557497,0.279554644,1.449154132,1.136230488,0.312923645,4.981920628,3.791153095,1.190767533,
2017,1,9,High,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,9,High,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,9,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,9,High,Female,28,29,3.33220451,-0.948732087,0.387231688,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,9,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,9,High,Female,28,29,3.33220451,-0.948732087,0.387231688,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,9,High,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,9,High,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,9,High,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,9,High,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,9,High,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,9,High,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,9,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,9,High,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,9,High,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,9,High,Male,25,26,3.218875825,-1.274557497,0.279554644,,,,3.258096538,-1.161796065,0.312923645,,,,,,,
2017,1,9,High,Male,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,9,High,Male,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,9,High,Male,39,,3.663561646,0.003935584,1.003943338,,,,,,,,,,,,,
2017,1,10,Low,Female,24,,3.17805383,-1.391922691,0.24859687,8.30037858,6.274571208,2.025807372,,,,0.777125985,0.777125985,0,4.538752282,3.525848596,1.012903686,
2017,1,10,Low,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,10,Low,Female,26,27,3.258096538,-1.161796065,0.312923645,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,10,Low,Female,28,29,3.33220451,-0.948732087,0.387231688,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,10,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,10,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,10,Low,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,10,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,10,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,10,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,10,Low,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,10,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,10,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,10,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,10,Low,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,10,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,10,Low,Male,23,,3.135494216,-1.514283625,0.219965706,,,,,,,,,,,,,
2017,1,10,Low,Male,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,10,Low,Male,33,,3.496507561,-0.476352928,0.621044259,,,,,,,,,,,,,
2017,1,10,Low,Male,36,,3.583518938,-0.226191043,0.797565718,,,,,,,,,,,,,
2017,1,11,Medium,Female,25,,3.218875825,-1.274557497,0.279554644,8.356066371,6.386155527,1.969910844,,,,0,0,0,4.178033185,3.193077763,0.984955422,no fish recollected
2017,1,11,Medium,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,11,Medium,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,11,Medium,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,11,Medium,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,11,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,11,Medium,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,11,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,11,Medium,Female,33,,3.496507561,-0.476352928,0.621044259,,,,,,,,,,,,,
2017,1,11,Medium,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,11,Medium,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,11,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,11,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,11,Medium,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,11,Medium,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,11,Medium,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,11,Medium,Male,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,11,Medium,Male,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,11,Medium,Male,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,11,Medium,Male,36,,3.583518938,-0.226191043,0.797565718,,,,,,,,,,,,,
2017,1,12,High,Female,25,26,3.218875825,-1.274557497,0.279554644,8.935360294,6.342973168,2.592387126,3.258096538,-1.161796065,0.312923645,1.087387021,1.087387021,0,5.011373658,3.715180095,1.296193563,
2017,1,12,High,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,12,High,Female,27,28,3.295836866,-1.05329081,0.348788063,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,12,High,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,12,High,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,12,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,12,High,Female,28,28,3.33220451,-0.948732087,0.387231688,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,12,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,12,High,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,12,High,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,12,High,Female,24,,3.17805383,-1.391922691,0.24859687,,,,,,,,,,,,,
2017,1,12,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,12,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,12,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,12,High,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,12,High,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,12,High,Male,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,12,High,Male,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,12,High,Male,35,,3.555348061,-0.307183667,0.735515499,,,,,,,,,,,,,
2017,1,12,High,Male,40,,3.688879454,0.076725497,1.079745642,,,,,,,,,,,,,
2017,1,13,Low,Female,24,,3.17805383,-1.391922691,0.24859687,8.852567946,6.156835864,2.695732082,,,,1.372717508,1.372717508,0,5.112642727,3.764776686,1.347866041,
2017,1,13,Low,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,13,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,13,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,13,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,13,Low,Female,27,29,3.295836866,-1.05329081,0.348788063,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,13,Low,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,13,Low,Female,29,30,3.36729583,-0.847842859,0.428337922,,,,3.401197382,-0.75037427,0.472189793,,,,,,,
2017,1,13,Low,Female,31,30,3.433987204,-0.656101956,0.518869976,,,,3.401197382,-0.75037427,0.472189793,,,,,,,
2017,1,13,Low,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,13,Low,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,13,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
