Trial,Date,Week,Day,Reef,Treatment,T6.comparison,Density,den.max,den.changed,deployment.day
2,8/2/2017,1,4,11,High,High,6,6,n,B
2,8/3/2017,1,5,11,High,High,4,4,n,B
2,7/30/2017,1,1,12,Medium,Medium,14,14,n,B
2,8/1/2017,1,3,12,Medium,Medium,11,12,y,B
2,8/2/2017,1,4,12,Medium,Medium,12,12,n,B
2,8/3/2017,1,5,12,Medium,Medium,10,10,n,B
2,7/31/2017,1,1,13,Low,Low,13,13,n,C
2,8/1/2017,1,2,13,Low,Low,7,7,n,C
2,8/3/2017,1,4,13,Low,Low,5,5,n,C
2,7/31/2017,1,1,14,Medium,Medium,16,16,n,C
2,8/1/2017,1,2,14,Medium,Medium,9,9,n,C
2,8/3/2017,1,4,14,Medium,Medium,2,2,n,C
2,7/31/2017,1,1,15,High,High,13,13,n,C
2,8/1/2017,1,2,15,High,High,8,8,n,C
2,8/3/2017,1,4,15,High,High,5,5,n,C
2,7/31/2017,1,1,16,Low,Low,15,15,n,C
2,8/1/2017,1,2,16,Low,Low,9,9,n,C
2,8/3/2017,1,4,16,Low,Low,5,5,n,C
2,7/31/2017,1,1,17,High,High,11,11,n,C
2,8/1/2017,1,2,17,High,High,5,5,n,C
2,8/3/2017,1,4,17,High,High,1,1,n,C
2,7/31/2017,1,1,18,Medium,Medium,4,4,n,C
2,8/1/2017,1,2,18,Medium,Medium,3,3,n,C
2,8/3/2017,1,4,18,Medium,Medium,2,2,n,C
3,8/17/2017,1,1,1,Low,Low,9,11,y,A
3,8/18/2017,1,2,1,Low,Low,10,11,y,A
3,8/19/2017,1,3,1,Low,Low,11,11,n,A
3,8/21/2017,1,5,1,Low,Low,6,6,n,A
3,8/22/2017,1,6,1,Low,Low,5,5,n,A
3,8/17/2017,1,1,2,High,High,12,12,n,A
3,8/18/2017,1,2,2,High,High,9,9,n,A
3,8/19/2017,1,3,2,High,High,3,6,y,A
3,8/21/2017,1,5,2,High,High,6,6,n,A
3,8/22/2017,1,6,2,High,High,6,6,n,A
3,8/17/2017,1,1,3,Medium,Medium,11,16,y,A
3,8/18/2017,1,2,3,Medium,Medium,16,16,n,A
3,8/19/2017,1,3,3,Medium,Medium,15,15,n,A
3,8/21/2017,1,5,3,Medium,Medium,8,8,n,A
3,8/22/2017,1,6,3,Medium,Medium,6,6,n,A
3,8/17/2017,1,1,4,High,High,12,12,n,A
3,8/18/2017,1,2,4,High,High,13,13,n,A
3,8/19/2017,1,3,4,High,High,10,10,n,A
3,8/21/2017,1,5,4,High,High,8,8,n,A
3,8/22/2017,1,6,4,High,High,4,4,n,A
3,8/17/2017,1,1,5,Medium,Medium,13,13,n,A
3,8/18/2017,1,2,5,Medium,Medium,11,12,y,A
3,8/19/2017,1,3,5,Medium,Medium,12,12,n,A
3,8/21/2017,1,5,5,Medium,Medium,9,9,n,A
3,8/22/2017,1,6,5,Medium,Medium,9,9,n,A
3,8/17/2017,1,1,6,Low,Low,12,14,y,A
3,8/18/2017,1,2,6,Low,Low,14,14,n,A
3,8/19/2017,1,3,6,Low,Low,9,9,n,A
3,8/21/2017,1,5,6,Low,Low,8,8,n,A
3,8/22/2017,1,6,6,Low,Low,6,6,n,A
3,8/16/2017,1,1,7,Medium,Medium,14,16,y,B
3,8/17/2017,1,2,7,Medium,Medium,15,16,y,B
3,8/18/2017,1,3,7,Medium,Medium,16,16,n,B
3,8/19/2017,1,4,7,Medium,Medium,9,12,y,B
3,8/21/2017,1,6,7,Medium,Medium,12,12,n,B
3,8/16/2017,1,1,8,High,High,14,14,n,B
3,8/17/2017,1,2,8,High,High,7,8,y,B
3,8/18/2017,1,3,8,High,High,8,8,n,B
3,8/19/2017,1,4,8,High,High,6,6,n,B
3,8/21/2017,1,6,8,High,High,4,4,n,B
3,8/16/2017,1,1,9,Low,Low,15,15,n,B
3,8/17/2017,1,2,9,Low,Low,11,11,n,B
3,8/18/2017,1,3,9,Low,Low,10,10,n,B
3,8/19/2017,1,4,9,Low,Low,10,10,n,B
3,8/21/2017,1,6,9,Low,Low,8,8,n,B
3,8/16/2017,1,1,10,High,High,16,16,n,B
3,8/17/2017,1,2,10,High,High,4,8,y,B
3,8/18/2017,1,3,10,High,High,8,8,n,B
3,8/19/2017,1,4,10,High,High,7,7,n,B
3,8/21/2017,1,6,10,High,High,4,4,n,B
3,8/16/2017,1,1,11,Low,Low,13,13,n,B
3,8/17/2017,1,2,11,Low,Low,11,12,y,B
3,8/18/2017,1,3,11,Low,Low,12,12,n,B
3,8/19/2017,1,4,11,Low,Low,10,10,n,B
3,8/21/2017,1,6,11,Low,Low,3,3,n,B
3,8/16/2017,1,1,12,Medium,Medium,12,12,n,B
3,8/17/2017,1,2,12,Medium,Medium,12,12,n,B
3,8/18/2017,1,3,12,Medium,Medium,11,11,n,B
3,8/19/2017,1,4,12,Medium,Medium,7,7,n,B
3,8/21/2017,1,6,12,Medium,Medium,2,2,n,B
3,8/16/2017,1,1,13,Low,Low,12,12,n,C
3,8/17/2017,1,2,13,Low,Low,12,12,n,C
3,8/18/2017,1,3,13,Low,Low,10,10,n,C
3,8/19/2017,1,4,13,Low,Low,9,9,n,C
3,8/21/2017,1,6,13,Low,Low,6,6,n,C
3,8/16/2017,1,1,14,High,High,13,13,n,C
3,8/17/2017,1,2,14,High,High,9,10,y,C
3,8/18/2017,1,3,14,High,High,10,10,n,C
3,8/19/2017,1,4,14,High,High,6,8,y,C
3,8/21/2017,1,6,14,High,High,8,8,n,C
3,8/16/2017,1,1,15,Low,Low,14,14,n,C
3,8/17/2017,1,2,15,Low,Low,14,14,n,C
3,8/18/2017,1,3,15,Low,Low,14,14,n,C
3,8/19/2017,1,4,15,Low,Low,9,9,n,C
3,8/21/2017,1,6,15,Low,Low,6,6,n,C
3,8/16/2017,1,1,16,Medium,Medium,14,15,y,C
3,8/17/2017,1,2,16,Medium,Medium,14,15,y,C
3,8/18/2017,1,3,16,Medium,Medium,15,15,n,C
3,8/19/2017,1,4,16,Medium,Medium,5,5,n,C
3,8/21/2017,1,6,16,Medium,Medium,4,4,n,C
3,8/16/2017,1,1,17,High,High,13,13,n,C
3,8/17/2017,1,2,17,High,High,12,12,n,C
3,8/18/2017,1,3,17,High,High,4,4,n,C
3,8/19/2017,1,4,17,High,High,3,3,n,C
3,8/21/2017,1,6,17,High,High,2,2,n,C
3,8/16/2017,1,1,18,Medium,Medium,14,17,y,C
3,8/17/2017,1,2,18,Medium,Medium,17,17,n,C
3,8/18/2017,1,3,18,Medium,Medium,11,11,n,C
3,8/19/2017,1,4,18,Medium,Medium,10,10,n,C
3,8/21/2017,1,6,18,Medium,Medium,3,3,n,C
4,5/31/2018,1,1,1,Low,Low,14,14,n,A
4,6/5/2018,1,5,1,Low,Low,10,10,n,A
4,6/6/2018,1,6,1,Low,Low,7,8,y,A
4,6/7/2018,1,7,1,Low,Low,8,8,n,A
4,6/11/2018,2,11,1,Low,Low,0,5,y,A
4,6/12/2018,2,12,1,Low,Low,2,5,y,A
4,6/13/2018,2,13,1,Low,Low,2,5,y,A
4,6/14/2018,2,14,1,Low,Low,5,5,n,A
4,6/16/2018,3,16,1,Low,Low,3,3,n,A
4,6/17/2018,3,17,1,Low,Low,0,1,y,A
4,6/19/2018,3,19,1,Low,Low,0,1,y,A
4,6/20/2018,3,20,1,Low,Low,1,1,n,A
4,6/26/2018,4,26,1,Low,Low,1,1,n,A
4,6/27/2018,4,27,1,Low,Low,0,0,n,A
4,6/28/2018,4,28,1,Low,Low,0,0,n,A
4,5/31/2018,1,1,2,High,High,14,14,n,A
4,6/5/2018,1,5,2,High,High,11,11,n,A
4,6/6/2018,1,6,2,High,High,7,8,y,A
4,6/7/2018,1,7,2,High,High,8,8,n,A
4,6/11/2018,2,11,2,High,High,1,7,y,A
4,6/12/2018,2,12,2,High,High,4,7,y,A
4,6/13/2018,2,13,2,High,High,5,7,y,A
4,6/14/2018,2,14,2,High,High,6,7,y,A
4,6/16/2018,3,16,2,High,High,5,7,y,A
4,6/17/2018,3,17,2,High,High,7,7,n,A
4,6/19/2018,3,19,2,High,High,3,4,y,A
4,6/20/2018,3,20,2,High,High,4,4,n,A
4,6/26/2018,4,26,2,High,High,3,3,n,A
4,6/27/2018,4,27,2,High,High,3,3,n,A
4,6/28/2018,4,28,2,High,High,2,2,n,A
4,5/31/2018,1,1,3,Medium,Medium,11,11,n,A
4,6/5/2018,1,5,3,Medium,Medium,11,11,n,A
4,6/6/2018,1,6,3,Medium,Medium,11,11,n,A
4,6/7/2018,1,7,3,Medium,Medium,8,8,n,A
4,6/11/2018,2,11,3,Medium,Medium,6,7,y,A
4,6/12/2018,2,12,3,Medium,Medium,3,7,y,A
4,6/13/2018,2,13,3,Medium,Medium,7,7,n,A
4,6/14/2018,2,14,3,Medium,Medium,7,7,n,A
4,6/16/2018,3,16,3,Medium,Medium,4,4,n,A
4,6/17/2018,3,17,3,Medium,Medium,3,3,n,A
4,6/19/2018,3,19,3,Medium,Medium,3,3,n,A
4,6/20/2018,3,20,3,Medium,Medium,2,2,n,A
4,6/26/2018,4,26,3,Medium,Medium,0,1,y,A
4,6/27/2018,4,27,3,Medium,Medium,1,1,n,A
4,6/28/2018,4,28,3,Medium,Medium,1,1,n,A
4,5/31/2018,1,1,4,High,High,15,15,n,A
4,6/5/2018,1,5,4,High,High,8,8,n,A
4,6/6/2018,1,6,4,High,High,4,4,n,A
4,6/7/2018,1,7,4,High,High,4,4,n,A
4,6/11/2018,2,11,4,High,High,3,3,n,A
4,6/12/2018,2,12,4,High,High,1,1,n,A
4,6/13/2018,2,13,4,High,High,1,1,n,A
4,6/14/2018,2,14,4,High,High,1,1,n,A
4,6/16/2018,3,16,4,High,High,0,1,y,A
4,6/17/2018,3,17,4,High,High,0,1,y,A
4,6/19/2018,3,19,4,High,High,1,1,n,A
4,6/20/2018,3,20,4,High,High,1,1,n,A
4,6/26/2018,4,26,4,High,High,1,1,n,A
4,6/27/2018,4,27,4,High,High,1,1,n,A
4,6/28/2018,4,28,4,High,High,1,1,n,A
4,5/31/2018,1,1,5,Medium,Medium,15,15,n,A
4,6/5/2018,1,5,5,Medium,Medium,3,7,y,A
4,6/6/2018,1,6,5,Medium,Medium,5,7,y,A
4,6/7/2018,1,7,5,Medium,Medium,7,7,n,A
4,6/11/2018,2,11,5,Medium,Medium,3,3,n,A
4,6/12/2018,2,12,5,Medium,Medium,1,3,y,A
4,6/13/2018,2,13,5,Medium,Medium,1,3,y,A
4,6/14/2018,2,14,5,Medium,Medium,NA,NA,n,A
4,6/16/2018,3,16,5,Medium,Medium,1,3,y,A
4,6/17/2018,3,17,5,Medium,Medium,3,3,n,A
4,6/19/2018,3,19,5,Medium,Medium,3,3,n,A
4,6/20/2018,3,20,5,Medium,Medium,1,2,y,A
4,6/26/2018,4,26,5,Medium,Medium,0,2,y,A
4,6/27/2018,4,27,5,Medium,Medium,0,2,y,A
4,6/28/2018,4,28,5,Medium,Medium,2,2,n,A
4,5/31/2018,1,1,6,Low,Low,17,17,n,A
4,6/5/2018,1,5,6,Low,Low,12,12,n,A
4,6/6/2018,1,6,6,Low,Low,9,9,n,A
4,6/7/2018,1,7,6,Low,Low,9,9,n,A
4,6/11/2018,2,11,6,Low,Low,5,6,y,A
4,6/12/2018,2,12,6,Low,Low,3,6,y,A
4,6/13/2018,2,13,6,Low,Low,3,6,y,A
4,6/14/2018,2,14,6,Low,Low,6,6,n,A
4,6/16/2018,3,16,6,Low,Low,3,5,y,A
4,6/17/2018,3,17,6,Low,Low,5,5,n,A
4,6/19/2018,3,19,6,Low,Low,5,5,n,A
4,6/20/2018,3,20,6,Low,Low,5,5,n,A
4,6/26/2018,4,26,6,Low,Low,2,2,n,A
4,6/27/2018,4,27,6,Low,Low,2,2,n,A
4,6/28/2018,4,28,6,Low,Low,2,2,n,A
4,5/31/2018,1,1,7,Medium,Medium,14,14,n,A
4,6/5/2018,1,5,7,Medium,Medium,11,11,n,A
4,6/6/2018,1,6,7,Medium,Medium,6,9,y,A
4,6/7/2018,1,7,7,Medium,Medium,9,9,n,A
4,6/11/2018,2,11,7,Medium,Medium,3,3,n,A
4,6/12/2018,2,12,7,Medium,Medium,0,2,y,A
4,6/13/2018,2,13,7,Medium,Medium,2,2,n,A
4,6/14/2018,2,14,7,Medium,Medium,2,2,n,A
4,6/16/2018,3,16,7,Medium,Medium,2,2,n,A
4,6/17/2018,3,17,7,Medium,Medium,2,2,n,A
4,6/19/2018,3,19,7,Medium,Medium,2,2,n,A
4,6/20/2018,3,20,7,Medium,Medium,2,2,n,A
4,6/26/2018,4,26,7,Medium,Medium,2,2,n,A
4,6/27/2018,4,27,7,Medium,Medium,2,2,n,A
4,6/28/2018,4,28,7,Medium,Medium,2,2,n,A
4,5/31/2018,1,1,8,High,High,16,16,n,A
4,6/5/2018,1,5,8,High,High,13,13,n,A
4,6/6/2018,1,6,8,High,High,9,9,n,A
4,6/7/2018,1,7,8,High,High,7,7,n,A
4,6/11/2018,2,11,8,High,High,5,6,y,A
4,6/12/2018,2,12,8,High,High,3,6,y,A
4,6/13/2018,2,13,8,High,High,4,6,y,A
4,6/14/2018,2,14,8,High,High,3,6,y,A
4,6/16/2018,3,16,8,High,High,4,6,y,A
4,6/17/2018,3,17,8,High,High,6,6,n,A
4,6/19/2018,3,19,8,High,High,4,4,n,A
4,6/20/2018,3,20,8,High,High,2,2,n,A
4,6/26/2018,4,26,8,High,High,2,2,n,A
4,6/27/2018,4,27,8,High,High,2,2,n,A
4,6/28/2018,4,28,8,High,High,0,0,n,A
4,5/31/2018,1,1,9,Low,Low,11,13,y,A
4,6/5/2018,1,5,9,Low,Low,13,13,n,A
4,6/6/2018,1,6,9,Low,Low,9,11,y,A
4,6/7/2018,1,7,9,Low,Low,11,11,n,A
4,6/11/2018,2,11,9,Low,Low,5,6,y,A
4,6/12/2018,2,12,9,Low,Low,4,6,y,A
4,6/13/2018,2,13,9,Low,Low,5,6,y,A
4,6/14/2018,2,14,9,Low,Low,6,6,n,A
4,6/16/2018,3,16,9,Low,Low,6,6,n,A
4,6/17/2018,3,17,9,Low,Low,4,4,n,A
4,6/19/2018,3,19,9,Low,Low,3,3,n,A
4,6/20/2018,3,20,9,Low,Low,2,2,n,A
4,6/26/2018,4,26,9,Low,Low,2,2,n,A
4,6/27/2018,4,27,9,Low,Low,1,1,n,A
4,6/28/2018,4,28,9,Low,Low,1,1,n,A
4,5/31/2018,1,1,10,Medium,Medium,10,16,y,B
4,6/5/2018,1,4,10,Medium,Medium,16,16,n,B
4,6/6/2018,1,5,10,Medium,Medium,10,12,y,B
4,6/7/2018,1,6,10,Medium,Medium,10,12,y,B
4,6/12/2018,2,11,10,Medium,Medium,10,12,y,B
4,6/11/2018,2,12,10,Medium,Medium,11,12,y,B
4,6/13/2018,2,12,10,Medium,Medium,12,12,n,B
4,6/14/2018,2,13,10,Medium,Medium,11,11,n,B
4,6/16/2018,3,15,10,Medium,Medium,8,9,y,B
4,6/17/2018,3,16,10,Medium,Medium,7,9,y,B
4,6/19/2018,3,18,10,Medium,Medium,9,9,n,B
4,6/20/2018,3,19,10,Medium,Medium,9,9,n,B
4,6/26/2018,4,25,10,Medium,Medium,5,5,n,B
4,6/27/2018,4,26,10,Medium,Medium,3,3,n,B
4,6/28/2018,4,27,10,Medium,Medium,2,2,n,B
4,5/31/2018,1,1,11,Low,Low,11,18,y,B
4,6/5/2018,1,4,11,Low,Low,14,18,y,B
4,6/6/2018,1,5,11,Low,Low,11,18,y,B
4,6/7/2018,1,6,11,Low,Low,15,18,y,B
4,6/12/2018,2,11,11,Low,Low,11,18,y,B
4,6/11/2018,2,12,11,Low,Low,14,18,y,B
4,6/13/2018,2,12,11,Low,Low,15,18,y,B
4,6/14/2018,2,13,11,Low,Low,18,18,n,B
4,6/16/2018,3,15,11,Low,Low,11,14,y,B
4,6/17/2018,3,16,11,Low,Low,12,14,y,B
4,6/19/2018,3,18,11,Low,Low,14,14,n,B
4,6/20/2018,3,19,11,Low,Low,14,14,n,B
4,6/26/2018,4,25,11,Low,Low,11,14,y,B
4,6/27/2018,4,26,11,Low,Low,10,14,y,B
4,6/28/2018,4,27,11,Low,Low,14,14,n,B
4,5/31/2018,1,1,12,High,High,12,18,y,B
4,6/5/2018,1,4,12,High,High,18,18,n,B
4,6/6/2018,1,5,12,High,High,15,15,n,B
4,6/7/2018,1,6,12,High,High,14,15,y,B
4,6/12/2018,2,11,12,High,High,15,15,n,B
4,6/11/2018,2,12,12,High,High,12,15,y,B
4,6/13/2018,2,12,12,High,High,11,15,y,B
4,6/14/2018,2,13,12,High,High,10,15,y,B
4,6/16/2018,3,15,12,High,High,9,15,y,B
4,6/17/2018,3,16,12,High,High,11,15,y,B
4,6/19/2018,3,18,12,High,High,15,15,n,B
4,6/20/2018,3,19,12,High,High,14,14,n,B
4,6/26/2018,4,25,12,High,High,14,14,n,B
4,6/27/2018,4,26,12,High,High,14,14,n,B
4,6/28/2018,4,27,12,High,High,7,7,n,B
4,5/31/2018,1,1,13,Low,Low,9,17,y,B
4,6/5/2018,1,4,13,Low,Low,14,17,y,B
4,6/6/2018,1,5,13,Low,Low,12,17,y,B
4,6/7/2018,1,6,13,Low,Low,14,17,y,B
4,6/12/2018,2,11,13,Low,Low,12,17,y,B
4,6/11/2018,2,12,13,Low,Low,11,17,y,B
4,6/13/2018,2,12,13,Low,Low,15,17,y,B
4,6/14/2018,2,13,13,Low,Low,17,17,n,B
4,6/16/2018,3,15,13,Low,Low,10,12,y,B
4,6/17/2018,3,16,13,Low,Low,9,12,y,B
4,6/19/2018,3,18,13,Low,Low,12,12,n,B
4,6/20/2018,3,19,13,Low,Low,9,12,y,B
4,6/26/2018,4,25,13,Low,Low,11,12,y,B
4,6/27/2018,4,26,13,Low,Low,12,12,n,B
4,6/28/2018,4,27,13,Low,Low,8,8,n,B
4,5/31/2018,1,1,14,Medium,Medium,15,20,y,B
4,6/5/2018,1,4,14,Medium,Medium,16,20,y,B
4,6/6/2018,1,5,14,Medium,Medium,11,20,y,B
4,6/7/2018,1,6,14,Medium,Medium,18,20,y,B
4,6/12/2018,2,11,14,Medium,Medium,14,20,y,B
4,6/11/2018,2,12,14,Medium,Medium,13,20,y,B
4,6/13/2018,2,12,14,Medium,Medium,20,20,n,B
4,6/14/2018,2,13,14,Medium,Medium,18,18,n,B
4,6/16/2018,3,15,14,Medium,Medium,12,16,y,B
4,6/17/2018,3,16,14,Medium,Medium,12,16,y,B
4,6/19/2018,3,18,14,Medium,Medium,14,16,y,B
4,6/20/2018,3,19,14,Medium,Medium,16,16,n,B
4,6/26/2018,4,25,14,Medium,Medium,13,14,y,B
4,6/27/2018,4,26,14,Medium,Medium,14,14,n,B
4,6/28/2018,4,27,14,Medium,Medium,12,12,n,B
4,5/31/2018,1,1,15,Low,Low,10,16,y,B
4,6/5/2018,1,4,15,Low,Low,12,16,y,B
4,6/6/2018,1,5,15,Low,Low,11,16,y,B
4,6/7/2018,1,6,15,Low,Low,16,16,n,B
4,6/12/2018,2,11,15,Low,Low,10,13,y,B
4,6/11/2018,2,12,15,Low,Low,11,13,y,B
4,6/13/2018,2,12,15,Low,Low,10,13,y,B
4,6/14/2018,2,13,15,Low,Low,13,13,n,B
4,6/16/2018,3,15,15,Low,Low,9,13,y,B
4,6/17/2018,3,16,15,Low,Low,11,13,y,B
4,6/19/2018,3,18,15,Low,Low,13,13,n,B
4,6/20/2018,3,19,15,Low,Low,8,8,n,B
4,6/26/2018,4,25,15,Low,Low,7,8,y,B
4,6/27/2018,4,26,15,Low,Low,6,8,y,B
4,6/28/2018,4,27,15,Low,Low,8,8,n,B
4,5/31/2018,1,1,16,High,High,11,16,y,B
4,6/5/2018,1,4,16,High,High,13,16,y,B
4,6/6/2018,1,5,16,High,High,11,16,y,B
4,6/7/2018,1,6,16,High,High,12,16,y,B
4,6/12/2018,2,11,16,High,High,16,16,n,B
4,6/11/2018,2,12,16,High,High,7,13,y,B
4,6/13/2018,2,12,16,High,High,11,13,y,B
4,6/14/2018,2,13,16,High,High,13,13,n,B
4,6/16/2018,3,15,16,High,High,11,12,y,B
4,6/17/2018,3,16,16,High,High,10,12,y,B
4,6/19/2018,3,18,16,High,High,12,12,n,B
4,6/20/2018,3,19,16,High,High,11,11,n,B
4,6/26/2018,4,25,16,High,High,3,7,y,B
4,6/27/2018,4,26,16,High,High,7,7,n,B
4,6/28/2018,4,27,16,High,High,2,6,y,B
4,6/29/2018,4,28,16,High,High,6,6,n,B
4,5/31/2018,1,1,17,Medium,Medium,8,17,y,B
4,6/5/2018,1,4,17,Medium,Medium,10,17,y,B
4,6/6/2018,1,5,17,Medium,Medium,11,17,y,B
4,6/7/2018,1,6,17,Medium,Medium,13,17,y,B
4,6/12/2018,2,11,17,Medium,Medium,17,17,n,B
4,6/11/2018,2,12,17,Medium,Medium,6,14,y,B
4,6/13/2018,2,12,17,Medium,Medium,10,14,y,B
4,6/14/2018,2,13,17,Medium,Medium,14,14,n,B
4,6/16/2018,3,15,17,Medium,Medium,9,13,y,B
4,6/17/2018,3,16,17,Medium,Medium,11,13,y,B
4,6/19/2018,3,18,17,Medium,Medium,13,13,n,B
4,6/20/2018,3,19,17,Medium,Medium,9,12,y,B
4,6/26/2018,4,25,17,Medium,Medium,6,12,y,B
4,6/27/2018,4,26,17,Medium,Medium,11,12,y,B
4,6/28/2018,4,27,17,Medium,Medium,6,12,y,B
4,6/29/2018,4,28,17,Medium,Medium,12,12,n,B
4,5/31/2018,1,1,18,High,High,10,18,y,B
4,6/5/2018,1,4,18,High,High,10,18,y,B
4,6/6/2018,1,5,18,High,High,9,18,y,B
4,6/7/2018,1,6,18,High,High,16,18,y,B
4,6/12/2018,2,11,18,High,High,18,18,n,B
4,6/11/2018,2,12,18,High,High,12,12,n,B
4,6/13/2018,2,12,18,High,High,10,10,n,B
4,6/14/2018,2,13,18,High,High,10,10,n,B
4,6/16/2018,3,15,18,High,High,7,7,n,B
4,6/17/2018,3,16,18,High,High,7,7,n,B
4,6/19/2018,3,18,18,High,High,5,6,y,B
4,6/20/2018,3,19,18,High,High,6,6,n,B
4,6/26/2018,4,25,18,High,High,3,4,y,B
4,6/27/2018,4,26,18,High,High,NA,NA,n,B
4,6/28/2018,4,27,18,High,High,2,4,y,B
4,6/29/2018,4,28,18,High,High,4,4,n,B
5,7/4/2018,1,1,1,High,High,15,15,n,A
5,7/5/2018,1,2,1,High,High,9,12,y,A
5,7/7/2018,1,4,1,High,High,11,12,y,A
5,7/8/2018,1,5,1,High,High,8,12,y,A
5,7/9/2018,1,6,1,High,High,9,12,y,A
5,7/10/2018,1,7,1,High,High,12,12,n,A
5,7/11/2018,1,7,1,High,High,8,8,n,A
5,7/14/2018,2,11,1,High,High,6,6,n,A
5,7/15/2018,2,12,1,High,High,5,5,n,A
5,7/18/2018,3,15,1,High,High,3,3,n,A
5,7/19/2018,3,16,1,High,High,2,3,y,A
5,7/23/2018,3,20,1,High,High,3,3,n,A
5,7/24/2018,3,21,1,High,High,2,2,n,A
5,7/27/2018,4,23,1,High,High,2,2,n,A
5,7/28/2018,4,24,1,High,High,2,2,n,A
5,7/29/2018,4,25,1,High,High,2,2,n,A
5,7/30/2018,4,26,1,High,High,1,1,n,A
5,7/4/2018,1,1,2,Low,Low,9,12,y,A
5,7/5/2018,1,2,2,Low,Low,12,12,n,A
5,7/7/2018,1,4,2,Low,Low,10,12,y,A
5,7/8/2018,1,5,2,Low,Low,7,12,y,A
5,7/9/2018,1,6,2,Low,Low,9,12,y,A
5,7/10/2018,1,7,2,Low,Low,12,12,n,A
5,7/11/2018,1,7,2,Low,Low,10,11,y,A
5,7/14/2018,2,11,2,Low,Low,11,11,n,A
5,7/15/2018,2,12,2,Low,Low,9,10,y,A
5,7/18/2018,3,15,2,Low,Low,10,10,n,A
5,7/19/2018,3,16,2,Low,Low,9,9,n,A
5,7/23/2018,3,20,2,Low,Low,7,9,y,A
5,7/24/2018,3,21,2,Low,Low,5,9,y,A
5,7/27/2018,4,23,2,Low,Low,7,9,y,A
5,7/28/2018,4,24,2,Low,Low,9,9,n,A
5,7/29/2018,4,25,2,Low,Low,8,8,n,A
