Trial,Reef,Treatment,Treatment.power,T6.comparison,Egg.count,Density,Density.category,Density.letter,Recollection,avg.inhab,Year,Year.fact,egg.week
5,14,Medium,2,Medium,10786,10,Medium,M,5,13,2018,2018,2697
5,15,High,3,High,17279,9.75,Medium,M,10,15,2018,2018,4320
5,16,Medium,2,Medium,12804,9.75,Medium,M,6,13,2018,2018,3201
5,17,Low,1,Low,16509,10.75,High,H,5,13,2018,2018,4128
5,18,High,3,High,10085,6.5,Medium,M,7,14,2018,2018,2522
6,1,Low,1,Low,1723,4.5,Low,L,1,11,2018,2018,862
6,2,High,3,Uncaged,4780,4,Low,L,1,11,2018,2018,2390
6,3,Medium,2,Medium,2794,7,Medium,M,5,13,2018,2018,1397
6,4,Low,1,Low,997,4,Low,L,1,11,2018,2018,499
6,5,High,3,Uncaged,5437,6.5,Medium,M,3,12,2018,2018,2719
6,6,Medium,2,Medium,1796,6.5,Medium,M,6,13,2018,2018,898
6,7,High,3,High,1538,5,Low,L,5,13,2018,2018,769
6,8,High,3,Uncaged,5018,6.5,Medium,M,6,13,2018,2018,2509
6,9,Low,1,Low,3824,6,Medium,M,5,13,2018,2018,1912
6,10,High,3,High,5309,4,Low,L,4,12,2018,2018,2655
6,11,Medium,2,Medium,0,2.5,Low,L,1,11,2018,2018,0
6,12,High,3,Uncaged,948,1.5,Low,L,1,11,2018,2018,474
6,13,Low,1,Low,844,4.5,Low,L,3,12,2018,2018,422
6,14,Medium,2,Medium,1016,2,Low,L,1,11,2018,2018,508
6,15,High,3,High,1676,5,Low,L,4,12,2018,2018,838
6,16,Low,1,Low,4080,5,Low,L,3,12,2018,2018,2040
6,17,High,3,High,1453,3.5,Low,L,2,11,2018,2018,727
6,18,Medium,2,Medium,5926,6.5,Medium,M,2,11,2018,2018,2963
6,19,High,3,Uncaged,1470,2.5,Low,L,3,12,2018,2018,735
6,20,High,3,High,3514,5,Low,L,4,12,2018,2018,1757
