week,reef,deployment.day,treatment,egg.count,initial.biomass,final.biomass,change.in.biomass,average.biomass,eggs.initial.biomass,eggs.avg.biomass,nest.count,eggs.per.nest,log.egg,avg.density.week,prop.population.remainiing,average.density.samp.days,avg.egg.density.week,avg.egg.samp.days,eggs.prop.population.remaining,new.clutches,egg.clutch,avg.egg.clutch.den
3,13,B,Low,4369,7.65,6.53,-1.12,7.09,571.0232571,616.1688844,3,1456.333333,8.382518288,10,0.5,9,436.9,485.4444444,2184.5,3,1456.333333,145.6333333
3,14,B,Medium,6076,7.71,9.46,1.75,8.59,787.8970702,707.6773532,4,1519,8.712266432,13.5,0.675,16,450.0740741,379.75,4101.3,4,1519,112.5185185
3,15,B,Low,7651,7.99,5.74,-2.25,6.87,957.0003317,1114.106544,3,2550.333333,8.942722331,10.25,0.5125,8,746.4390244,956.375,3921.1375,3,2550.333333,248.8130081
3,16,B,High,4362,7.99,4.59,-3.4,6.29,545.9818427,693.5215932,3,1454,8.380915173,11,0.55,11,396.5454545,396.5454545,2399.1,3,1454,132.1818182
3,17,B,Medium,6018,7.89,9.07,1.18,8.48,762.7499757,709.6751496,4,1504.5,8.702676412,10.5,0.525,9,573.1428571,668.6666667,3159.45,4,1504.5,143.2857143
3,18,B,High,1306,7.73,2.62,-5.11,5.17,169.0311182,252.4552535,3,435.3333333,7.175489714,6.25,0.3125,6,208.96,217.6666667,408.125,3,435.3333333,69.65333333
4,1,A,Low,0,7.95,0.24,-7.71,4.09,0,0,0,0,0,0.33,0.0165,0.5,0,0,0,0,0,0
4,2,A,High,1084,7.86,1.44,-6.42,4.65,137.9311751,233.1435497,1,1084,6.989335266,2.67,0.1335,2.5,406.5,433.6,144.714,1,1084,406.5
4,3,A,Medium,0,7.85,1.25,-6.6,4.55,0,0,0,0,0,0.67,0.0335,0.5,0,0,0,0,0,0
4,4,A,High,0,8.48,0.64,-7.84,4.56,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0
4,5,A,Medium,2668,7.7,1.18,-6.52,4.44,346.4621337,600.8537224,2,1334,7.889459149,0.67,0.0335,1,4002,2668,89.378,2,1334,2001
4,6,A,Low,996,7.71,1.49,-6.22,4.6,129.1657974,216.4977447,2,498,6.90475077,2,0.1,2,498,498,99.6,2,498,249
4,7,A,Medium,0,8.03,1.59,-6.44,4.81,0,0,0,0,0,2,0.1,2,0,0,0,0,0,0
4,8,A,High,640,8.05,1.59,-6.46,4.82,79.50469844,132.7823045,1,640,6.463029457,1.33,0.0665,1,480,640,42.56,1,640,480
4,9,A,Low,0,8.05,0.99,-7.06,4.52,0,0,0,0,0,1.33,0.0665,1.5,0,0,0,0,0,0
4,10,B,Medium,1358,7.8,1.97,-5.83,4.88,174.170955,278.0810342,1,1358,7.214504414,3.33,0.1665,3.5,407.4,388,226.107,1,1358,407.4
4,11,B,Low,4296,7.63,9.71,2.08,8.67,562.8251938,495.4182869,3,1432,8.365672384,11.67,0.5835,12.5,368.2285714,343.68,2506.716,3,1432,122.7428571
4,12,B,High,7063,7.8,6.82,-0.98,7.31,905.3376182,966.1109225,4,1765.75,8.862766742,11.67,0.5835,10.5,605.4,672.6666667,4121.2605,4,1765.75,151.35
4,13,B,Low,10637,7.65,6.53,-1.12,7.09,1390.243622,1500.15757,6,1772.833333,9.272187775,10.33,0.5165,9.5,1029.387097,1119.684211,5494.0105,6,1772.833333,171.5645162
4,15,B,Low,6417,7.99,5.74,-2.25,6.87,802.6494744,934.4166375,6,1069.5,8.766861822,7,0.35,7.5,916.7142857,855.6,2245.95,6,1069.5,152.7857143
4,16,B,High,7373,7.99,4.59,-3.4,6.29,922.8620189,1172.245462,3,2457.666667,8.905715579,4.5,0.225,4.5,1638.444444,1638.444444,1658.925,3,2457.666667,546.148148
4,18,B,High,2829,7.73,2.62,-5.11,5.17,366.1478051,546.8575131,5,565.8,7.948031991,3,0.15,3.5,943,808.2857143,424.35,5,565.8,188.6
