"Trial","Reef","Treatment","T6.comparison","Egg.count","Density","Density.category","Density.letter","Recollection","avg.inhab","Year","Year.fact","Trial.fact","egg.week","Random","Random.fact"
2,6,"Low","Low",426,10,"Medium","M",2,11,2017,"2017","2",426,"22017","22017"
2,7,"Medium","Medium",5917,10,"Medium","M",2,11,2017,"2017","2",5917,"22017","22017"
2,8,"Low","Low",0,10,"Medium","M",7,14,2017,"2017","2",0,"22017","22017"
2,9,"High","High",2252,9,"Medium","M",6,13,2017,"2017","2",2252,"22017","22017"
2,10,"Low","Low",4592,11,"High","H",5,13,2017,"2017","2",4592,"22017","22017"
2,11,"High","High",729,8,"Medium","M",5,13,2017,"2017","2",729,"22017","22017"
2,12,"Medium","Medium",4286,12,"High","H",7,14,2017,"2017","2",4286,"22017","22017"
2,13,"Low","Low",0,9,"Medium","M",1,11,2017,"2017","2",0,"22017","22017"
2,14,"Medium","Medium",49,9,"Medium","M",0,10,2017,"2017","2",49,"22017","22017"
2,15,"High","High",4320,9,"Medium","M",3,12,2017,"2017","2",4320,"22017","22017"
2,16,"Low","Low",6278,10,"Medium","M",2,11,2017,"2017","2",6278,"22017","22017"
2,17,"High","High",2398,6,"Medium","M",6,13,2017,"2017","2",2398,"22017","22017"
2,18,"Medium","Medium",3291,3,"Low","L",2,11,2017,"2017","2",3291,"22017","22017"
3,1,"Low","Low",1637,9,"Medium","M",4,12,2017,"2017","3",1637,"32017","32017"
3,2,"High","High",4106,8,"Medium","M",10,15,2017,"2017","3",4106,"32017","32017"
3,3,"Medium","Medium",5227,13,"High","H",9,15,2017,"2017","3",5227,"32017","32017"
3,4,"High","High",4281,10,"Medium","M",9,15,2017,"2017","3",4281,"32017","32017"
3,5,"Medium","Medium",1635,11,"High","H",8,14,2017,"2017","3",1635,"32017","32017"
3,6,"Low","Low",5601,11,"High","H",10,15,2017,"2017","3",5601,"32017","32017"
3,7,"Medium","Medium",0,15,"High","H",11,16,2017,"2017","3",0,"32017","32017"
3,8,"High","High",0,8,"Medium","M",5,13,2017,"2017","3",0,"32017","32017"
3,9,"Low","Low",4248,11,"High","H",7,14,2017,"2017","3",4248,"32017","32017"
3,10,"High","High",1403,9,"Medium","M",6,13,2017,"2017","3",1403,"32017","32017"
3,11,"Low","Low",5133,10,"Medium","M",5,13,2017,"2017","3",5133,"32017","32017"
3,12,"Medium","Medium",3440,9,"Medium","M",3,12,2017,"2017","3",3440,"32017","32017"
3,13,"Low","Low",805,10,"Medium","M",4,12,2017,"2017","3",805,"32017","32017"
3,14,"High","High",4250,10,"Medium","M",6,13,2017,"2017","3",4250,"32017","32017"
3,15,"Low","Low",6033,12,"High","H",6,13,2017,"2017","3",6033,"32017","32017"
3,16,"Medium","Medium",1825,11,"High","H",7,14,2017,"2017","3",1825,"32017","32017"
3,17,"High","High",5139,7,"Medium","M",5,13,2017,"2017","3",5139,"32017","32017"
3,18,"Medium","Medium",4408,12,"High","H",6,13,2017,"2017","3",4408,"32017","32017"
4,1,"Low","Low",8352,4.5,"Low","L",1,11,2018,"2018","4",2088,"42018","42018"
4,2,"High","High",16333,6.75,"Medium","M",3,12,2018,"2018","4",4084,"42018","42018"
4,3,"Medium","Medium",6761,5.5,"Medium","M",2,11,2018,"2018","4",1691,"42018","42018"
4,4,"High","High",7904,3,"Low","L",1,11,2018,"2018","4",1976,"42018","42018"
4,5,"Medium","Medium",2668,4.25,"Low","L",2,11,2018,"2018","4",667,"42018","42018"
4,6,"Low","Low",13967,6.25,"Medium","M",3,12,2018,"2018","4",3492,"42018","42018"
4,7,"Medium","Medium",595,4.5,"Low","L",2,11,2018,"2018","4",149,"42018","42018"
4,8,"High","High",11994,6.25,"Medium","M",3,12,2018,"2018","4",2999,"42018","42018"
4,9,"Low","Low",11575,6,"Medium","M",2,11,2018,"2018","4",2894,"42018","42018"
4,10,"Medium","Medium",12122,9.75,"Medium","M",4,12,2018,"2018","4",3031,"42018","42018"
4,11,"Low","Low",22407,16,"High","H",15,18,2018,"2018","4",5602,"42018","42018"
4,12,"High","High",24053,14.75,"High","H",13,17,2018,"2018","4",6014,"42018","42018"
4,13,"Low","Low",31385,14.25,"High","H",13,17,2018,"2018","4",7847,"42018","42018"
4,14,"Medium","Medium",34304,17.5,"High","H",18,19,2018,"2018","4",8576,"42018","42018"
4,15,"Low","Low",23966,12.25,"High","H",9,15,2018,"2018","4",5992,"42018","42018"
4,16,"High","High",20372,12.25,"High","H",9,15,2018,"2018","4",5093,"42018","42018"
4,17,"Medium","Medium",29465,14.25,"High","H",17,19,2018,"2018","4",7367,"42018","42018"
4,18,"High","High",13813,10.5,"High","H",5,13,2018,"2018","4",3454,"42018","42018"
5,1,"High","High",14839,5.75,"Medium","M",4,12,2018,"2018","5",3710,"52018","52018"
5,2,"Low","Low",19497,10.5,"High","H",10,15,2018,"2018","5",4875,"52018","52018"
5,3,"Medium","Medium",19401,9.75,"Medium","M",7,14,2018,"2018","5",4851,"52018","52018"
5,4,"Low","Low",23522,10.75,"High","H",5,13,2018,"2018","5",5881,"52018","52018"
5,5,"Medium","Medium",25867,12.25,"High","H",7,14,2018,"2018","5",6467,"52018","52018"
5,6,"High","High",15784,7.25,"Medium","M",3,12,2018,"2018","5",3946,"52018","52018"
5,7,"Medium","Medium",15751,10.75,"High","H",9,15,2018,"2018","5",3938,"52018","52018"
5,8,"Low","Low",19230,10.25,"Medium","M",7,14,2018,"2018","5",4808,"52018","52018"
5,9,"High","High",8339,4.25,"Low","L",3,12,2018,"2018","5",2085,"52018","52018"
5,10,"Medium","Medium",8302,9.25,"Medium","M",5,13,2018,"2018","5",2076,"52018","52018"
5,11,"Low","Low",12008,9.75,"Medium","M",6,13,2018,"2018","5",3002,"52018","52018"
5,12,"High","High",7237,4.25,"Low","L",0,10,2018,"2018","5",1810,"52018","52018"
5,13,"Low","Low",3245,5,"Low","L",0,10,2018,"2018","5",812,"52018","52018"
5,14,"Medium","Medium",10786,10,"Medium","M",5,13,2018,"2018","5",2697,"52018","52018"
5,15,"High","High",17279,9.75,"Medium","M",10,15,2018,"2018","5",4320,"52018","52018"
5,16,"Medium","Medium",12804,9.75,"Medium","M",6,13,2018,"2018","5",3201,"52018","52018"
5,17,"Low","Low",16509,10.75,"High","H",5,13,2018,"2018","5",4128,"52018","52018"
5,18,"High","High",10085,6.5,"Medium","M",7,14,2018,"2018","5",2522,"52018","52018"
6,1,"Low","Low",1723,4.5,"Low","L",1,11,2018,"2018","6",862,"62018","62018"
6,2,"High","Uncaged",4780,4,"Low","L",1,11,2018,"2018","6",2390,"62018","62018"
6,3,"Medium","Medium",2794,7,"Medium","M",5,13,2018,"2018","6",1397,"62018","62018"
6,4,"Low","Low",997,4,"Low","L",1,11,2018,"2018","6",499,"62018","62018"
6,5,"High","Uncaged",5437,6.5,"Medium","M",3,12,2018,"2018","6",2719,"62018","62018"
6,6,"Medium","Medium",1796,6.5,"Medium","M",6,13,2018,"2018","6",898,"62018","62018"
6,7,"High","High",1538,5,"Low","L",5,13,2018,"2018","6",769,"62018","62018"
6,8,"High","Uncaged",5018,6.5,"Medium","M",6,13,2018,"2018","6",2509,"62018","62018"
6,9,"Low","Low",3824,6,"Medium","M",5,13,2018,"2018","6",1912,"62018","62018"
6,10,"High","High",5309,4,"Low","L",4,12,2018,"2018","6",2655,"62018","62018"
6,11,"Medium","Medium",0,2.5,"Low","L",1,11,2018,"2018","6",0,"62018","62018"
6,12,"High","Uncaged",948,1.5,"Low","L",1,11,2018,"2018","6",474,"62018","62018"
6,13,"Low","Low",844,4.5,"Low","L",3,12,2018,"2018","6",422,"62018","62018"
6,14,"Medium","Medium",1016,2,"Low","L",1,11,2018,"2018","6",508,"62018","62018"
6,15,"High","High",1676,5,"Low","L",4,12,2018,"2018","6",838,"62018","62018"
6,16,"Low","Low",4080,5,"Low","L",3,12,2018,"2018","6",2040,"62018","62018"
6,17,"High","High",1453,3.5,"Low","L",2,11,2018,"2018","6",727,"62018","62018"
6,18,"Medium","Medium",5926,6.5,"Medium","M",2,11,2018,"2018","6",2963,"62018","62018"
6,19,"High","Uncaged",1470,2.5,"Low","L",3,12,2018,"2018","6",735,"62018","62018"
6,20,"High","High",3514,5,"Low","L",4,12,2018,"2018","6",1757,"62018","62018"
