Trial,Date,Week,Day,Position,Reef,Treatment,TOL,num.Clutches.day,num.Clutches.original,Egg.count.clutch,Egg.count,Egg count.original,Img,Notes,MB/TG notes,MB/TG count,,,,
4,6/7/2018,1,7,,6,Low,4,1,3,,593,3908,IMG_6970,"Original count was just d7, but all the eggs in that nest. counted 593 pink yolk eggs, but I'm not sure how to go about that. I have two options: 1) subtract 593 from 3908 (d7 counts) to get 3315 or eggs on D4 (different than value I got with automated counts for that day), option 2: add 593 to the automated count I did for D4 (593+3724= 4317). I think I'll stick with option 1 for now, as I'm not super confident in the D4 automated counts, pink eyed up, transparent eyed up, eggs left over from d4 that are still there. NOTE: there are some eggs that were there on d4 that aren't there now -- notice the eggs that are missing by the TOL number",,,,,,
4,6/5/2018,1,5,,6,Low,2,0,NA,,0,NA,NA,no eggs D4 for this TOL,,,,,,
4,6/7/2018,1,7,,6,Low,2,1,1,,801,801,IMG_6964,all pink,,,,,,
4,6/5/2018,1,5,,7,Medium,NA,NA,NA,,0,0,NA,no eggs,,,,,,
4,6/7/2018,1,7,,7,Medium,5,1,1,,106,106,IMG_6975,few eggs,,,,,,
4,6/5/2018,1,5,,8,High,1,3,NA,,3957,NA,IMG_6843,"pink yolk, pink eyed up, transparent eyed up, eggs left over from d4 that are still there. ",,,,,,
4,6/7/2018,1,7,,8,High,1,1,3,,900,4857,IMG_6982,"GO BACK, COUNT ONLY PINK YOLK (DARK AND LIGHT) THAT DON'T HAVE EGGS, THEN SUBTRACT THAT FROM THE MANUAL COUNTS THAT YOU DID FOR THIS NEST ALREADY. THAT WILL GIVE YOU A COUNT FOR NEW PRODUCTION ON D7 IF YOU SUBTRACT THE MANUAL COUNT OF PINK YOLK FROM THE MANUAL COUNT FOR ALL EGGS. probably more than 900 eggs here. Debating what to do with this as well: do I count the nubmer of pink yolk on d7 and add it to automated counts to get new production for d7 only, or do I count the pink yolks manually, and subtract that total from the d7 manual counts to get the number of new eggs? pink yolk, pink eyed up, transparent eyed up, eggs left over from d4 that are still there. Subracted the automated counts (d4) from the manual counts (d7)",,,,,,
4,6/5/2018,1,5,,8,High,4,1,NA,,597,NA,IMG_6984,pink yolk ,automated,,,,,
4,6/7/2018,1,7,,8,High,4,1,2,,215,812,IMG_6984,pink yolk. Subtracted the automated counts from the manual counts to get d7 output only,,,,,,
4,6/5/2018,1,5,,9,Low,3,3,NA,,6908,NA,IMG_6863,"pink yolk, red yolk, red eyed-up, and transparent eyed-up (few)",,,,,,
4,6/7/2018,1,7,,9,Low,3,1,4,,2941,9849,IMG_6991,"really only 1 new clutch, pink yolk, from d4 to d7. subtracted automated counts from manual counts to get the production for d7 only. pink yolk, red yolk, red eyed-up, and transparent eyed-up. Clearly more eggs on d7 than there were on d4",,,,,,
4,6/5/2018,1,4,,10,Medium,5,2,2,,2129,2129,IMG_6875,"pink yolk, red yolk, more eggs in this nest on d4 than d7, which leads me to believe that the eggs hatched or were eaten? Most importantly, no additional eggs laid between d4 and d7 in this nest",,,,,,
4,6/7/2018,1,6,,10,Medium,NA,NA,NA,,0,NA,NA,no new eggs on d7,,,,,,
4,6/5/2018,1,4,,11,Low,3,1,NA,,2246,NA,IMG_6882,"pink yolk, red yolk",,,,,,
4,6/7/2018,1,6,,11,Low,3,3,3,,5904,5904,IMG_6998,"pink yolk, red yolk, dark red yolk",,,,,,
4,6/5/2018,1,4,,12,High,4,2,2,,4776,4776,IMG_6885,"pink yolk , eyed-up pink yolk ",,,,,,
4,6/7/2018,1,6,,12,High,4,1,1,,85,85,IMG_7020,"terminal egg phase, elongated and about ready to hatch. These eggs were laid in addition to the ones on d4 (can tell by their relation to the TOL number in the bottom right corner of the acetate sheet)",,,,,,
4,6/5/2018,1,4,,13,Low,1,2,NA,,2670,NA,IMG_6892,"pink yolk, red yolk, automated",,,,,,
4,6/7/2018,1,6,,13,Low,1,1,2,,2411,5081,IMG_7024,"pink yolk new, all of these eggs, plus a few more were there on D6, I subtracted the number of eggs on D4 from the ones on D6 that I counted by hand",,,,,,
4,6/5/2018,1,4,,14,Medium,3,2,NA,,3307,NA,IMG_6897,"pink yolk, red yolk, automated",,,,,,
4,6/7/2018,1,6,,14,Medium,3,1,2,,3144,6451,IMG_7030,"pink yolk, eyed-up pink yolk, dark red",,,,,,
4,6/5/2018,1,4,,15,Low,2,2,2,,3129,3129,IMG_6903,"pink yolk, red yolk, no new eggs on D6",,,,,,
4,6/7/2018,1,6,,15,Low,2,NA,NA,,0,NA,NA,no new eggs on D6,,,,,,
4,6/5/2018,1,4,,16,High,5,1,NA,,1031,NA,IMG_6913,"pink yolk, automated",,,,,,
4,6/7/2018,1,6,,16,High,5,1,2,,4030,5061,IMG_7041,"pink yolk, red yolk",,,,,,
4,6/5/2018,1,4,,17,Medium,4,2,NA,,3279,NA,IMG_6920,"pink yolk, red yolk, automated",,,,,"overlap in eggs, don't count all, only new ones",
4,6/7/2018,1,6,,17,Medium,4,1,3,,2600,5879,IMG_7043,"pink yolk (new), red yolk + eyed up pink (old)",,,,,"overlap in eggs, don't count all, only new ones",
4,6/5/2018,1,4,,18,High,4,1,NA,,2213,NA,IMG_6925,"pink yolk (new), automated",,,,,,
4,6/7/2018,1,6,,18,High,4,2,3,,1689,3902,IMG_7051,"pink yolk , red yolk, eyed up pink",,,,,,
4,6/11/2018,2,11,,1,Low,1,2,2,,1189,1189,IMG_7056,"pink yolks are new, but all others were there before. 1 new clutch",,,,,,
4,6/14/2018,2,14,,1,Low,1,0,0,,0,0,,no new eggs,,,13,low,,
4,6/11/2018,2,11,,2,High,1,1,1,,39,39,IMG_7059,a few pink yolks that are new,,,,,,
4,6/11/2018,2,11,,2,High,5,2,2,,3113,3113,IMG_7063,all eggs that are not eyed up are new. Pink yolk and red yolk,,,,,,"GO BACK AND CLICK ONLY ON THE FIRST SET OF EYED UP EGGS THAT YOU WENT WITH, AND SUBTRACT THAT FROM THE FINAL COUNT OF ONLY PINK YOLK AND RED YOLK"
4,6/14/2018,2,14,,2,High,5,2,2,,816,816,IMG_7168,"pink yolk and dark yolk, don't count anything with eyes",,,14,medium,,
4,6/11/2018,2,11,,3,Medium,1,2,2,,1914,1914,IMG_7066,everything that's not eyed-up is new,,,,,,
4,6/14/2018,2,14,,3,Medium,1,0,0,,0,0,,no new eggs,,,15,low,,
4,6/11/2018,2,11,,4,High,3,1,1,,951,951,IMG_7071,pink yolk only,,,,,,
4,6/14/2018,2,14,,4,High,3,1,1,,1247,1247,IMG_7176,"pink yolk only, don't count eyed eggs",,,16,high,,
4,6/14/2018,2,14,,5,Medium,NA,0,0,,0,0,,no eggs,,,17,medium,,
4,6/11/2018,2,11,,6,Low,2,2,2,,3334,3334,IMG_7075,"2 new clutches,eyed up eggs were there previously",,,,,,
4,6/14/2018,2,14,,6,Low,2,1,1,,1226,1226,IMG_7180,"only dark pink yolks, no eyed up eggs to count",,,18,high,,
4,6/11/2018,2,11,,7,Medium,3,1,1,,489,489,IMG_7079,"pink yolk, entirely new clutch of eggs",,,,,,
4,6/14/2018,2,14,,7,Medium,3,0,0,,0,0,IMG_7183,no new eggs,,,,,,
4,6/11/2018,2,11,,8,High,1,2,2,,1592,1592,IMG_7085,"light pink yolk (bigger), and red yolk (smaller) are new, don't count anything with eyes",,,,,,3113
4,6/11/2018,2,11,,8,High,2,1,1,,1054,1054,IMG_7092,"light pink, all new eggs",,,,,,
4,6/14/2018,2,14,,8,High,1,2,2,,1771,1771,IMG_7187,"pink yolk and red yolk, don't count eyed up eggs",,,,,,
4,6/11/2018,2,11,,9,Low,3,0,0,,0,0,IMG_7095,no new eggs,,,reef,trt,,
4,6/14/2018,2,14,,9,Low,3,1,1,,727,727,IMG_7190,"dark pink yolk, don't count eyed up",,,,,,
4,6/14/2018,2,14,,9,Low,5,1,1,,999,999,IMG_7193,pink yolk,,,,,,
4,6/11/2018,2,10,,10,Medium,5,2,2,,4765,4765,IMG_7099,"light pink yolk (bigger), and red yolk (smaller) are new, don't count anything with eyes",,,1,low,,
4,6/14/2018,2,13,,10,Medium,5,1,1,,159,159,IMG_7199,"pink yolk, don't count anything with eyes",,,,,,
4,6/11/2018,2,10,,11,Low,3,2,2,,3113,3113,IMG_7106,"light pink, dark pink yolk, don't count eyed up (both transparent or pink eyed up)",,,2,high,,
4,6/14/2018,2,13,,11,Low,3,2,2,,2472,2472,IMG_7201,"pink yolk, dark yolk, don't count eyes",,,,,,
4,6/11/2018,2,10,,12,High,2,2,2,,5326,5326,IMG_7111,light pink and dark pink ,,,3,medium,,
4,6/14/2018,2,13,,12,High,2,2,2,,2792,2792,IMG_7205,"pink yolk  and red yolk, don't count eyes",,,,,,
4,6/11/2018,2,10,,13,Low,1,1,1,,2247,2247,IMG_7113,"light pink , don't count eyed eggs",,,4,high,,
4,6/11/2018,2,10,,13,Low,4,2,2,,5145,5145,IMG_7117,"light pink, dark pink yolk, no eyed up eggs",,,5,medium,,
4,6/14/2018,2,13,,13,Low,1,1,1,,537,537,IMG_7210,"pink yolk only, don't count eyed eggs",,,,,,
4,6/14/2018,2,13,,13,Low,4,2,2,,3369,3369,IMG_7213,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/11/2018,2,10,,14,Medium,3,2,2,,4049,4049,IMG_7121,"light pink, dark pink yolk, don't count eyed up eggs",,,6,low,,
4,6/11/2018,2,10,,14,Medium,5,2,2,,2884,2884,IMG_7126,light pink and dark pink ,,,7,medium,,
4,6/14/2018,2,13,,14,Medium,3,1,1,,1222,1222,IMG_7216,"pink yolk, don't count eyed eggs",,,,,,
4,6/14/2018,2,13,,14,Medium,5,2,2,,3191,3191,IMG_7220,"pink yolk , light yolk, don't count eyed eggs",,,,,,
4,6/11/2018,2,10,,15,Low,1,2,2,,1665,1665,IMG_7130,light pink and dark pink ,,,8,high,,
4,6/11/2018,2,10,,15,Low,2,2,2,,4324,4324,IMG_7135,"light pink and dark pink, don't count eyed up eggs, had MB count this one",,,9,low,,
4,6/14/2018,2,13,,15,Low,1,1,1,,213,213,IMG_7228,pink yolk,,,,,,
4,6/14/2018,2,13,,15,Low,2,1,1,,567,567,IMG_7232,"pink yolk, don't count eyed eggs",,,,,,
4,6/11/2018,2,10,,16,High,5,1,1,,1826,1826,IMG_7142,"dark pink, don't coint eyed up eggs",,,10,medium,,
4,6/14/2018,2,13,,16,High,5,1,1,,1750,1750,IMG_7234,"pink yolk, don't count eyed eggs",,,,,,
4,6/11/2018,2,10,,17,Medium,4,1,1,,1653,1653,IMG_7146,"light pink, nothing with eyes",,,11,low,,
4,6/14/2018,2,13,,17,Medium,4,2,2,,3646,3646,IMG_7239,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/11/2018,2,10,,18,High,4,2,2,,4220,4220,IMG_7153,"light pink, dark pink, don't count anything with eyes",,,12,high,,
4,6/14/2018,2,13,,18,High,4,1,1,,1556,1556,IMG_7241,"pink yolk, don't count eyed eggs",,,,,,
4,6/19/2018,3,18,,1,Low,3,1,1,,909,909,IMG_7245,pink yolk,,,,,,
4,6/19/2018,3,18,,2,High,1,1,1,,1126,1126,IMG_7250,pink yolk,,,,,,
4,6/19/2018,3,18,,3,Medium,1,0,0,,0,0,NA,no new eggs,,,,,,
4,6/19/2018,3,18,,4,High,3,1,1,,69,69,IMG_7254,"pink yolk, no eyed up eggs",,,,,,
4,6/19/2018,3,18,,5,Medium,NA,0,0,,0,0,NA,no eggs,,,,,,
4,6/19/2018,3,18,,6,Low,2,2,2,,3293,3293,IMG_7259,"pink yolk and red yolk, don't count eyed up eggs",,,,,,
4,6/19/2018,3,18,,7,Medium,NA,0,0,,0,0,NA,no new eggs,,,,,,
4,6/19/2018,3,18,,8,High,1,1,1,,1268,1268,IMG_7266,"pink yolk, don't count eyed up eggs",,,,,,
4,6/19/2018,3,18,,9,Low,5,0,0,,0,0,IMG_7268,no new eggs,,,,,,
4,6/19/2018,3,17,,10,Medium,1,2,2,,3711,3711,IMG_7274,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/19/2018,3,17,,11,Low,3,2,2,,4376,4376,IMG_7277,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/19/2018,3,17,,12,High,1,2,2,,4011,4011,IMG_7281,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/19/2018,3,17,,13,Low,1,1,1,,88,88,IMG_7286,"pink yolk, no eyed up eggs",,,,,,
4,6/19/2018,3,17,,13,Low,4,2,2,,4281,4281,IMG_7288,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/19/2018,3,17,,14,Medium,3,2,2,,2250,2250,IMG_7292,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/19/2018,3,17,,14,Medium,5,2,2,,3826,3826,IMG_7298,"pink yolk light and dark, don't count eyed eggs",,,,,,
4,6/19/2018,3,17,,15,Low,1,1,1,,4,4,IMG_7300,a few pink yolks that are new,,,,,,
4,6/19/2018,3,17,,15,Low,2,2,2,,7647,7647,IMG_7304,"pink yolk light and dark, don't count eyed eggs (only a few eyed up eggs)",,,,,,
4,6/19/2018,3,17,,16,High,3,1,1,,872,872,IMG_7310,pink yolk,,,,,,
4,6/19/2018,3,17,,16,High,5,2,2,,3490,3490,IMG_7315,"pink yolk light and dark, don't count eyed eggs. Might have to go back and count all of the pink eggs only, including ones that are barely eyed up. Most of the ones that are pink are new",,,,,,
4,6/19/2018,3,17,,17,Medium,2,3,3,,3866,3866,IMG_7320,"pink yolk, dark yolk, eyed up eggs as well. There weren't any eggs photographed in this nest previously",,,,,,
4,6/19/2018,3,17,,17,Medium,4,1,1,,2152,2152,IMG_7326,"pink yolk, don't count anything with eyes",,,,,,
4,6/19/2018,3,17,,18,High,2,1,1,,121,121,IMG_7329,"pink yolk, no eggs in this TOL previously",,,,,,
4,6/19/2018,3,17,,18,High,4,1,1,,794,794,IMG_7336,"pink yolk, don't count eyed up eggs",,,,,,
4,6/19/2018,3,17,,18,High,5,1,1,,391,391,IMG_7339,"pink yolk, no eggs in this TOL previously",,,,,,
4,6/26/2018,4,26,,1,Low,NA,0,0,,0,0,NA,,"took a week off between these and the last round of photos from week 3, so make sure you check all of the previous nest photos to compare clutches",,,,,
4,6/28/2018,4,28,,1,Low,NA,NA,NA,,0,0,NA,,,,,,,
4,6/26/2018,4,26,,2,High,NA,0,0,,0,0,NA,,,,,,,
4,6/28/2018,4,28,,2,High,5,1,1,,1084,1084,IMG_7429,"pink yolk, no eggs in this nest previously",,,,,,
4,6/26/2018,4,26,,3,Medium,NA,0,0,,0,0,NA,,,,,,,
4,6/28/2018,4,28,,3,Medium,0,0,0,,0,0,,,,,,,,
4,6/26/2018,4,26,,4,High,NA,0,0,,0,0,NA,,,,,,,
4,6/28/2018,4,28,,4,High,0,0,0,,0,0,,,,,,,,
4,6/26/2018,4,26,,5,Medium,NA,0,0,,0,0,NA,,,,,,,
4,6/28/2018,4,28,,5,Medium,1,2,2,,2668,2668,IMG_7438,"pink yolk light and dark, no eggs in this nest previously",,,,,,
4,6/26/2018,4,26,,6,Low,2,1,1,,975,975,IMG_7347,"pink yolk, don't count the eyed up eggs",,,,,,
4,6/28/2018,4,28,,6,Low,2,1,1,,21,21,IMG_7445,"few new pink yolk eggs, don't count anythig with eyes/elongated",,,,,,
4,6/26/2018,4,26,,7,Medium,NA,0,0,,0,0,NA,,,,,,,
4,6/28/2018,4,28,,7,Medium,0,0,0,,0,0,,,,,,,,
4,6/26/2018,4,26,,8,High,5,1,1,,640,640,IMG_7352,"eyed up eggs only, no eggs in this nest previously",,,,,,
4,6/28/2018,4,28,,8,High,0,0,0,,0,0,,,,,,,,
4,6/26/2018,4,26,,9,Low,NA,0,0,,0,0,NA,,,,,,,
4,6/28/2018,4,28,,9,Low,0,0,0,,0,0,,,,,,,,
4,6/26/2018,4,25,,10,Medium,1,1,1,,1358,1358,IMG_7360,,,,,,,
4,6/28/2018,4,27,,10,Medium,1,0,0,,0,0,IMG_7447,no new eggs,,,,,,
4,6/26/2018,4,25,,11,Low,5,1,1,,908,908,IMG_7363,,,,,,,
4,6/26/2018,4,25,,11,Low,3,2,2,,3388,3388,IMG_7370,"pink yolk only and barely eyed up pink, don't count transparent eyed eggs",,,,,,
4,6/28/2018,4,27,,11,Low,3,0,0,,0,0,IMG_7452,no new eggs,,,,,,
4,6/28/2018,4,27,,11,Low,5,0,0,,0,0,IMG_7457,no new eggs,,,,,,
4,6/26/2018,4,25,,12,High,1,2,2,,1232,1232,IMG_7373,"pink yolk and red yolk, don't count eyed up eggs",,,,,,
4,6/26/2018,4,25,,12,High,3,1,1,,3154,3154,IMG_7376,pink yolk,,,,,,
4,6/28/2018,4,27,,12,High,3,1,1,,2677,2677,IMG_7468,"5831 total eggs (I subtracted 3154 (number of eggs in the nest previously) from 5831 and got 2677) pink yolk only, not dark red yolk, thinking I should just count all of the eggs in this photo because they all fall within week 4, and it would be very hard to distinguish between the pink yolk and red yolk manually. Or count all of the eggs in this one, subtract those that were laid previously, and then that's the total number of eggs laid on this day alone.",,,,,,
4,6/26/2018,4,25,,13,Low,4,1,1,,631,631,IMG_7384,"pink yolk only, don't count eyed eggs",,,,,,
4,6/26/2018,4,25,,13,Low,5,2,2,,5707,5707,IMG_7391,"COUNT ALL EGGS, there were no eggs in this nest previously, pink yolk and eyed up eggs",,,,,,
4,6/28/2018,4,27,,13,Low,4,1,1,,1277,1277,IMG_7475,"pink yolk, don't count anything with eyes",,,,,,
4,6/28/2018,4,27,,13,Low,5,2,2,,3022,3022,IMG_7482,"pink yolk light and dark, don't count anything with eyes",,,,,,
4,6/29/2018,4,28,,17,Medium,2,1,1,,1501,1501,IMG_7519,"confirmed new eggs. pink yolk only, don't count anything with eyes",,,,,,
4,6/26/2018,4,25,,17,Medium,2,2,2,,4615,4615,IMG_7418,"confirmed new eggs. pink yolk and eyed up red yolk, don't count eyed up transparent eggs",,,,,,
4,6/28/2018,4,27,,14,Medium,3,0,0,,0,0,IMG_7501,no new eggs,,,,,,
4,6/26/2018,4,25,,14,Medium,3,3,3,,6593,6593,IMG_7394,"double checked, this one is good, all new eggs. Count everything besides the transparent eyed up eggs, ight pink, dark pink, eyed up pink",,,,,,
4,6/26/2018,4,25,,15,Low,1,3,3,,0,0,IMG_7405,"COUNT ONLY THE EYED UP EGGS AND ADD THEM TO THE COUNT FROM CELL 136. pink yolk light and dark, and eyed up eggs. COUNT THE EYED EGGS TOO! THEY WEREN'T THERE PREVIOUSLY. 321 eyed up eggs in this nest that weren't there previosuly, add to the total from IMG_7506 and then that will be the total number of eggs for this TOL for week 4. no total for this nest because the eggs were combined",,,,,,
4,6/28/2018,4,27,,15,Low,1,3,3,,6417,6417,IMG_7506,"Count all eggs in this photo. There are 3 clutches (eyed up pink, eyed up transparent, pink yolk). Don't count the eggs from the previous photo for this nest",,,,,,
4,6/26/2018,4,25,,16,High,3,3,3,,7373,7373,IMG_7413,"pink yolk light and dark, eyed up pink, count all except for the eyed up transparent/elongated eggs",,,,,,
4,6/29/2018,4,28,,16,High,3,0,0,,0,0,IMG_7512,No new eggs in this nest,,,,,,
4,6/29/2018,4,28,,17,Medium,4,1,1,,1972,1972,IMG_7525,"confrimed. pink yolk only, don't count anything with eyes",,,,,,
4,6/26/2018,4,25,,17,Medium,4,3,3,,4181,4181,IMG_7420,"confirmed. pink yolk, red yolk, eyed up pink, DON'T COUNT ANY OF THE EYED UP TRANSPARENT EGGS",,,,,,
4,6/26/2018,4,25,,14,Medium,5,2,2,,3838,3838,IMG_7403,"pink yolk light and dark, don't count eyed up eggs",,,,,,
4,6/28/2018,4,27,,14,Medium,5,2,2,,0,0,IMG_7495,"went back and compared these. 3877 was the count, but I'm pretty sure these are all the same eggs.pink yolk light and dark, don't count anything with eyes",,,,,,
4,6/26/2018,4,25,,18,High,1,2,2,,NA,NA,IMG_7426,"See cell 140. pink yolk, eyed up, COUNT ALL, no eggs in this nest previously",,,,,,
4,6/29/2018,4,28,,18,High,1,3,3,,2829,2829,IMG_7527,"eyed up transparent, eyed up pink, pink yolk, count all and don't count the nest photo for this previously",,,,,,
5,7/7/2018,1,4,,1,High,1,2,2,,2192,2192,IMG_7544,"took the average of MB and TG counts. pink yolk and eyed up pink yolk. no new eggs in the next nest photos for this TOL, so count only these for R1 W1",,,,,,
5,7/7/2018,1,4,,1,High,3,2,2,,3448,3448,IMG_7547,"took the averave of TG and MB counts. pink yolk and eyed up pink yolk. no new eggs in the next nest photos for this TOL, so count only these for R1 W1",,,,,,
5,7/7/2018,1,4,,2,Low,4,2,2,,3201,3201,IMG_7551,"pink yolk, light and dark, not eyed up",,,,,,
5,7/7/2018,1,4,,3,Medium,2,2,2,,3126,3126,IMG_7555,"pink yolk and eyed-up pink. blurry, GCJ will count",,,,,,
5,7/7/2018,1,4,,4,Low,1,3,3,,6749,6749,IMG_7559,"pink yolk, eyed up pink, and barely eyed up pink (maybe 2 clutches but it's taking a bit longer for barely eyed up to ""flip""?)",Go over this one with George. Checked. TG,,,,,
5,7/7/2018,1,4,,5,Medium,3,1,1,,3466,3466,IMG_7565,eyed up red. Automated in two parts,,,,,,
5,7/7/2018,1,4,,6,High,1,2,2,,3322,3322,IMG_7570,eyed up red and pink yolk,,,,,,
5,7/8/2018,1,4,,7,Medium,3,2,2,,1643,1643,IMG_7593,pink yolk light and dark. there are eggs there on day 7 too but this is probably the best way to do it. MB,,,,,,
5,7/8/2018,1,4,,8,Low,1,1,1,,602,602,IMG_7601,pink yolk eyed up. MB,,,,,,
5,7/8/2018,1,4,,9,High,0,0,0,,0,0,0,no eggs,,,,,,
5,7/8/2018,1,4,,10,Medium,3,1,1,,875,875,IMG_7606,eyed up pink,,,,,,
5,7/8/2018,1,4,,10,Medium,4,1,1,,897,897,IMG_7611,red yolk Automated,,,,3466,,
5,7/8/2018,1,4,,11,Low,5,2,2,,2442,2442,IMG_7615,pink yolk and eyed up pink.automated,,,,,,
5,7/8/2018,1,4,,12,High,1,2,2,,681,681,IMG_7621,pink yolk and red yolk,,,,,,
5,7/8/2018,1,4,,13,Low,2,2,2,,597,597,IMG_7624,pink yolk and red yolk,,,,,,
5,7/8/2018,1,4,,14,Medium,0,0,0,,0,0,0,no eggs,,,,,,
5,7/8/2018,1,4,,15,High,3,2,2,,3128,3128,IMG_7629,pink yolk and eyed up red,,,,,,
5,7/8/2018,1,4,,16,Medium,0,0,0,,0,0,0,no eggs,,,,,,
5,7/8/2018,1,4,,17,Low,0,0,0,,0,0,0,no eggs,,,,,,
5,7/8/2018,1,4,,18,High,3,2,2,,5010,5010,IMG_7635,"pink yolk, eyed up pink, and some elongated eggs. I don't think the elongated eggs are a 3rd clutch, but I do think they were laid earlier than most of the eyed up pink yolks.",,,,,,
5,7/10/2018,1,7,,1,High,1,0,0,,0,0,0,no new eggs,,,,,,
5,7/10/2018,1,7,,1,High,3,0,0,,0,0,0,no new eggs,,,,,,
5,7/10/2018,1,7,,2,Low,4,1,1,,369,369,IMG_7652,only count pink yolk,,,,,,
5,7/10/2018,1,7,,3,Medium,2,1,1,,3763,3763,IMG_7654,"Counted it at that time because I had already studied the photos closely side by side. only count pink yolk, red eyed up yolks and eyed ups were there previously",,,,,,
5,7/10/2018,1,7,,4,Low,1,1,1,,3864,3864,IMG_7668,"My vote would be to only count the pink yolks, not the dark red or eyed up, this one is a bugger…",THIS IS WHERE I SENT info OVER TO MICHELLE AND TAL in google drive,,,,,
5,7/10/2018,1,7,,5,Medium,3,2,2,,2749,2749,IMG_7673,"only count pink yolk and red yolk, nothing with eyes.TG. Counts are on HD2, all other counts by GCJ, TG, and MB are on both HD1 and HD2",,,,,,
5,7/10/2018,1,7,,6,High,1,1,1,,1849,1849,IMG_7677,"pink yolk are new, don't count eyed up eggs. Confirmed check. Went ahead and counted ",,,,,,
5,7/11/2018,1,7,,7,Medium,3,2,2,,2783,2783,IMG_7681,"CONSIDER GONG BACK AND RECOUNTING, ONLY PINK, BIG, YOLKS, NOT RED, NOT SLIGHTLY EYED UP. pink and red yolk new, don't count anything with eyes; also didn’t count anything with . Thought long and hard on this one, b/c the red eggs looked like they could have been there previously. ",,,,,,
5,7/11/2018,1,7,,8,Low,1,2,2,,6975,6975,IMG_7686,"pink yolk light and red yolk, don't count eyed up eggs",TG,,,,,
5,7/11/2018,1,7,,9,High,5,2,2,,2418,2418,IMG_7690,"pink yolk and red yolk. All new eggs, first time seeing eggs on R9",automated,,,,,
5,7/11/2018,1,7,,10,Medium,3,2,2,,1959,1959,IMG_7696,"pink yolk light and red yolk, don't count eyed up eggs",TG,,,,,
5,7/11/2018,1,7,,11,Low,5,2,2,,1262,1262,IMG_7699,"pink yolk light and dark, don't count anything that has eyes (both transparent eyed up and eyed up pink yolks)",,,,,,
