"Plot Title: 20181764"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181764, SEN S/N: 20181764)","Host Connected (LGR S/N: 20181764)","Coupler Attached (LGR S/N: 20181764)","Stopped (LGR S/N: 20181764)","End Of File (LGR S/N: 20181764)"
225,07/09/18,12:00:00 AM,68.592,,,,
226,07/09/18,12:30:00 AM,68.763,,,,
227,07/09/18,01:00:00 AM,68.934,,,,
228,07/09/18,01:30:00 AM,69.107,,,,
229,07/09/18,02:00:00 AM,68.421,,,,
230,07/09/18,02:30:00 AM,68.592,,,,
231,07/09/18,03:00:00 AM,67.906,,,,
232,07/09/18,03:30:00 AM,67.564,,,,
233,07/09/18,04:00:00 AM,67.050,,,,
234,07/09/18,04:30:00 AM,66.708,,,,
235,07/09/18,05:00:00 AM,66.879,,,,
236,07/09/18,05:30:00 AM,65.680,,,,
237,07/09/18,06:00:00 AM,65.851,,,,
238,07/09/18,06:30:00 AM,65.509,,,,
239,07/09/18,07:00:00 AM,64.996,,,,
240,07/09/18,07:30:00 AM,64.652,,,,
241,07/09/18,08:00:00 AM,66.193,,,,
242,07/09/18,08:30:00 AM,67.050,,,,
243,07/09/18,09:00:00 AM,67.221,,,,
244,07/09/18,09:30:00 AM,66.366,,,,
245,07/09/18,10:00:00 AM,67.564,,,,
246,07/09/18,10:30:00 AM,67.906,,,,
247,07/09/18,11:00:00 AM,67.221,,,,
248,07/09/18,11:30:00 AM,67.906,,,,
249,07/09/18,12:00:00 PM,69.107,,,,
250,07/09/18,12:30:00 PM,69.449,,,,
251,07/09/18,01:00:00 PM,70.308,,,,
252,07/09/18,01:30:00 PM,69.964,,,,
253,07/09/18,02:00:00 PM,69.278,,,,
254,07/09/18,02:30:00 PM,69.107,,,,
255,07/09/18,03:00:00 PM,68.763,,,,
256,07/09/18,03:30:00 PM,69.278,,,,
257,07/09/18,04:00:00 PM,68.421,,,,
258,07/09/18,04:30:00 PM,66.708,,,,
259,07/09/18,05:00:00 PM,65.509,,,,
260,07/09/18,05:30:00 PM,65.167,,,,
261,07/09/18,06:00:00 PM,64.652,,,,
262,07/09/18,06:30:00 PM,63.968,,,,
263,07/09/18,07:00:00 PM,64.310,,,,
264,07/09/18,07:30:00 PM,63.111,,,,
265,07/09/18,08:00:00 PM,63.282,,,,
266,07/09/18,08:30:00 PM,63.455,,,,
267,07/09/18,09:00:00 PM,63.455,,,,
268,07/09/18,09:30:00 PM,64.652,,,,
269,07/09/18,10:00:00 PM,63.797,,,,
270,07/09/18,10:30:00 PM,65.509,,,,
271,07/09/18,11:00:00 PM,65.509,,,,
272,07/09/18,11:30:00 PM,66.708,,,,
273,07/10/18,12:00:00 AM,66.879,,,,
274,07/10/18,12:30:00 AM,67.392,,,,
275,07/10/18,01:00:00 AM,67.221,,,,
276,07/10/18,01:30:00 AM,68.077,,,,
277,07/10/18,02:00:00 AM,67.906,,,,
278,07/10/18,02:30:00 AM,67.221,,,,
279,07/10/18,03:00:00 AM,67.564,,,,
280,07/10/18,03:30:00 AM,67.906,,,,
281,07/10/18,04:00:00 AM,68.077,,,,
282,07/10/18,04:30:00 AM,68.077,,,,
283,07/10/18,05:00:00 AM,67.735,,,,
284,07/10/18,05:30:00 AM,67.392,,,,
285,07/10/18,06:00:00 AM,67.392,,,,
286,07/10/18,06:30:00 AM,66.879,,,,
287,07/10/18,07:00:00 AM,67.050,,,,
288,07/10/18,07:30:00 AM,67.050,,,,
289,07/10/18,08:00:00 AM,66.879,,,,
290,07/10/18,08:30:00 AM,67.392,,,,
291,07/10/18,09:00:00 AM,66.193,,,,
292,07/10/18,09:30:00 AM,67.221,,,,
293,07/10/18,10:00:00 AM,66.879,,,,
294,07/10/18,10:30:00 AM,67.735,,,,
295,07/10/18,11:00:00 AM,66.879,,,,
296,07/10/18,11:30:00 AM,67.735,,,,
297,07/10/18,12:00:00 PM,68.934,,,,
298,07/10/18,12:30:00 PM,69.278,,,,
299,07/10/18,01:00:00 PM,69.278,,,,
300,07/10/18,01:30:00 PM,69.964,,,,
301,07/10/18,02:00:00 PM,70.308,,,,
302,07/10/18,02:30:00 PM,70.480,,,,
303,07/10/18,03:00:00 PM,70.480,,,,
304,07/10/18,03:30:00 PM,68.763,,,,
305,07/10/18,04:00:00 PM,67.735,,,,
306,07/10/18,04:30:00 PM,67.392,,,,
307,07/10/18,05:00:00 PM,66.022,,,,
308,07/10/18,05:30:00 PM,66.193,,,,
309,07/10/18,06:00:00 PM,66.193,,,,
310,07/10/18,06:30:00 PM,66.366,,,,
311,07/10/18,07:00:00 PM,65.851,,,,
312,07/10/18,07:30:00 PM,65.851,,,,
313,07/10/18,08:00:00 PM,66.193,,,,
314,07/10/18,08:30:00 PM,66.193,,,,
315,07/10/18,09:00:00 PM,65.680,,,,
316,07/10/18,09:30:00 PM,65.509,,,,
317,07/10/18,10:00:00 PM,66.022,,,,
318,07/10/18,10:30:00 PM,65.680,,,,
319,07/10/18,11:00:00 PM,66.879,,,,
320,07/10/18,11:30:00 PM,67.392,,,,
321,07/11/18,12:00:00 AM,66.879,,,,
322,07/11/18,12:30:00 AM,67.735,,,,
323,07/11/18,01:00:00 AM,68.248,,,,
324,07/11/18,01:30:00 AM,68.421,,,,
325,07/11/18,02:00:00 AM,68.934,,,,
326,07/11/18,02:30:00 AM,69.964,,,,
327,07/11/18,03:00:00 AM,69.964,,,,
328,07/11/18,03:30:00 AM,69.964,,,,
329,07/11/18,04:00:00 AM,70.137,,,,
330,07/11/18,04:30:00 AM,70.137,,,,
331,07/11/18,05:00:00 AM,70.480,,,,
332,07/11/18,05:30:00 AM,70.651,,,,
333,07/11/18,06:00:00 AM,70.308,,,,
334,07/11/18,06:30:00 AM,70.137,,,,
335,07/11/18,07:00:00 AM,70.308,,,,
336,07/11/18,07:30:00 AM,69.964,,,,
337,07/11/18,08:00:00 AM,69.964,,,,
338,07/11/18,08:30:00 AM,68.763,,,,
339,07/11/18,09:00:00 AM,66.193,,,,
340,07/11/18,09:30:00 AM,67.050,,,,
341,07/11/18,10:00:00 AM,65.680,,,,
342,07/11/18,10:30:00 AM,67.906,,,,
343,07/11/18,11:00:00 AM,69.107,,,,
344,07/11/18,11:30:00 AM,67.906,,,,
345,07/11/18,12:00:00 PM,68.934,,,,
346,07/11/18,12:30:00 PM,68.934,,,,
347,07/11/18,01:00:00 PM,68.077,,,,
348,07/11/18,01:30:00 PM,69.964,,,,
349,07/11/18,02:00:00 PM,70.824,,,,
350,07/11/18,02:30:00 PM,71.168,,,,
351,07/11/18,03:00:00 PM,71.339,,,,
352,07/11/18,03:30:00 PM,71.683,,,,
353,07/11/18,04:00:00 PM,71.339,,,,
354,07/11/18,04:30:00 PM,71.512,,,,
355,07/11/18,05:00:00 PM,70.995,,,,
356,07/11/18,05:30:00 PM,69.622,,,,
357,07/11/18,06:00:00 PM,69.107,,,,
358,07/11/18,06:30:00 PM,67.906,,,,
359,07/11/18,07:00:00 PM,66.366,,,,
360,07/11/18,07:30:00 PM,66.537,,,,
361,07/11/18,08:00:00 PM,66.537,,,,
362,07/11/18,08:30:00 PM,68.763,,,,
363,07/11/18,09:00:00 PM,69.964,,,,
364,07/11/18,09:30:00 PM,69.964,,,,
365,07/11/18,10:00:00 PM,69.964,,,,
366,07/11/18,10:30:00 PM,67.564,,,,
367,07/11/18,11:00:00 PM,69.622,,,,
368,07/11/18,11:30:00 PM,69.449,,,,
369,07/12/18,12:00:00 AM,69.622,,,,
370,07/12/18,12:30:00 AM,69.964,,,,
371,07/12/18,01:00:00 AM,70.480,,,,
372,07/12/18,01:30:00 AM,70.137,,,,
373,07/12/18,02:00:00 AM,70.308,,,,
374,07/12/18,02:30:00 AM,70.137,,,,
375,07/12/18,03:00:00 AM,70.308,,,,
376,07/12/18,03:30:00 AM,70.308,,,,
377,07/12/18,04:00:00 AM,70.651,,,,
378,07/12/18,04:30:00 AM,70.651,,,,
379,07/12/18,05:00:00 AM,70.651,,,,
380,07/12/18,05:30:00 AM,69.622,,,,
381,07/12/18,06:00:00 AM,70.137,,,,
382,07/12/18,06:30:00 AM,70.651,,,,
383,07/12/18,07:00:00 AM,70.824,,,,
384,07/12/18,07:30:00 AM,68.421,,,,
385,07/12/18,08:00:00 AM,69.278,,,,
386,07/12/18,08:30:00 AM,69.622,,,,
387,07/12/18,09:00:00 AM,69.278,,,,
388,07/12/18,09:30:00 AM,68.592,,,,
389,07/12/18,10:00:00 AM,67.735,,,,
390,07/12/18,10:30:00 AM,69.449,,,,
391,07/12/18,11:00:00 AM,68.421,,,,
392,07/12/18,11:30:00 AM,69.964,,,,
393,07/12/18,12:00:00 PM,70.308,,,,
394,07/12/18,12:30:00 PM,71.512,,,,
395,07/12/18,01:00:00 PM,69.622,,,,
396,07/12/18,01:30:00 PM,68.763,,,,
397,07/12/18,02:00:00 PM,69.449,,,,
398,07/12/18,02:30:00 PM,69.278,,,,
399,07/12/18,03:00:00 PM,69.449,,,,
400,07/12/18,03:30:00 PM,70.480,,,,
401,07/12/18,04:00:00 PM,71.512,,,,
402,07/12/18,04:30:00 PM,71.339,,,,
403,07/12/18,05:00:00 PM,71.683,,,,
404,07/12/18,05:30:00 PM,71.856,,,,
405,07/12/18,06:00:00 PM,70.824,,,,
406,07/12/18,06:30:00 PM,69.107,,,,
407,07/12/18,07:00:00 PM,66.708,,,,
408,07/12/18,07:30:00 PM,63.797,,,,
409,07/12/18,08:00:00 PM,63.282,,,,
410,07/12/18,08:30:00 PM,62.940,,,,
411,07/12/18,09:00:00 PM,63.111,,,,
412,07/12/18,09:30:00 PM,63.282,,,,
413,07/12/18,10:00:00 PM,63.282,,,,
414,07/12/18,10:30:00 PM,65.338,,,,
415,07/12/18,11:00:00 PM,63.797,,,,
416,07/12/18,11:30:00 PM,67.906,,,,
417,07/13/18,12:00:00 AM,67.564,,,,
418,07/13/18,12:30:00 AM,66.879,,,,
419,07/13/18,01:00:00 AM,66.366,,,,
420,07/13/18,01:30:00 AM,68.077,,,,
421,07/13/18,02:00:00 AM,67.564,,,,
422,07/13/18,02:30:00 AM,69.278,,,,
423,07/13/18,03:00:00 AM,69.622,,,,
424,07/13/18,03:30:00 AM,69.622,,,,
425,07/13/18,04:00:00 AM,69.278,,,,
426,07/13/18,04:30:00 AM,69.793,,,,
427,07/13/18,05:00:00 AM,69.964,,,,
428,07/13/18,05:30:00 AM,70.137,,,,
429,07/13/18,06:00:00 AM,70.480,,,,
430,07/13/18,06:30:00 AM,70.480,,,,
431,07/13/18,07:00:00 AM,70.651,,,,
432,07/13/18,07:30:00 AM,70.137,,,,
433,07/13/18,08:00:00 AM,70.480,,,,
434,07/13/18,08:30:00 AM,70.651,,,,
435,07/13/18,09:00:00 AM,70.651,,,,
436,07/13/18,09:30:00 AM,70.651,,,,
437,07/13/18,10:00:00 AM,70.995,,,,
438,07/13/18,10:30:00 AM,70.995,,,,
439,07/13/18,11:00:00 AM,70.480,,,,
440,07/13/18,11:30:00 AM,71.168,,,,
441,07/13/18,12:00:00 PM,69.107,,,,
442,07/13/18,12:30:00 PM,69.107,,,,
443,07/13/18,01:00:00 PM,69.622,,,,
444,07/13/18,01:30:00 PM,70.480,,,,
445,07/13/18,02:00:00 PM,70.651,,,,
446,07/13/18,02:30:00 PM,71.168,,,,
447,07/13/18,03:00:00 PM,71.512,,,,
448,07/13/18,03:30:00 PM,71.168,,,,
449,07/13/18,04:00:00 PM,71.339,,,,
450,07/13/18,04:30:00 PM,71.512,,,,
451,07/13/18,05:00:00 PM,71.512,,,,
452,07/13/18,05:30:00 PM,72.028,,,,
453,07/13/18,06:00:00 PM,72.028,,,,
454,07/13/18,06:30:00 PM,72.199,,,,
455,07/13/18,07:00:00 PM,72.199,,,,
456,07/13/18,07:30:00 PM,72.028,,,,
457,07/13/18,08:00:00 PM,68.763,,,,
458,07/13/18,08:30:00 PM,69.278,,,,
459,07/13/18,09:00:00 PM,71.168,,,,
460,07/13/18,09:30:00 PM,69.107,,,,
461,07/13/18,10:00:00 PM,69.964,,,,
462,07/13/18,10:30:00 PM,67.735,,,,
463,07/13/18,11:00:00 PM,69.107,,,,
464,07/13/18,11:30:00 PM,64.996,,,,
465,07/14/18,12:00:00 AM,69.107,,,,
466,07/14/18,12:30:00 AM,68.248,,,,
467,07/14/18,01:00:00 AM,69.622,,,,
468,07/14/18,01:30:00 AM,68.421,,,,
469,07/14/18,02:00:00 AM,68.077,,,,
470,07/14/18,02:30:00 AM,67.221,,,,
471,07/14/18,03:00:00 AM,68.763,,,,
472,07/14/18,03:30:00 AM,69.622,,,,
473,07/14/18,04:00:00 AM,69.964,,,,
474,07/14/18,04:30:00 AM,68.421,,,,
475,07/14/18,05:00:00 AM,67.392,,,,
476,07/14/18,05:30:00 AM,68.763,,,,
477,07/14/18,06:00:00 AM,69.107,,,,
478,07/14/18,06:30:00 AM,69.793,,,,
479,07/14/18,07:00:00 AM,69.964,,,,
480,07/14/18,07:30:00 AM,68.592,,,,
481,07/14/18,08:00:00 AM,68.077,,,,
482,07/14/18,08:30:00 AM,69.964,,,,
483,07/14/18,09:00:00 AM,69.622,,,,
484,07/14/18,09:30:00 AM,64.481,,,,
485,07/14/18,10:00:00 AM,63.797,,,,
486,07/14/18,10:30:00 AM,63.797,,,,
487,07/14/18,11:00:00 AM,66.022,,,,
488,07/14/18,11:30:00 AM,68.763,,,,
489,07/14/18,12:00:00 PM,66.366,,,,
490,07/14/18,12:30:00 PM,64.825,,,,
491,07/14/18,01:00:00 PM,66.708,,,,
492,07/14/18,01:30:00 PM,68.421,,,,
493,07/14/18,02:00:00 PM,67.050,,,,
494,07/14/18,02:30:00 PM,68.077,,,,
495,07/14/18,03:00:00 PM,69.107,,,,
496,07/14/18,03:30:00 PM,69.622,,,,
497,07/14/18,04:00:00 PM,69.107,,,,
498,07/14/18,04:30:00 PM,70.137,,,,
499,07/14/18,05:00:00 PM,70.308,,,,
500,07/14/18,05:30:00 PM,70.308,,,,
501,07/14/18,06:00:00 PM,70.480,,,,
502,07/14/18,06:30:00 PM,68.763,,,,
503,07/14/18,07:00:00 PM,69.107,,,,
504,07/14/18,07:30:00 PM,69.449,,,,
505,07/14/18,08:00:00 PM,69.964,,,,
506,07/14/18,08:30:00 PM,63.111,,,,
507,07/14/18,09:00:00 PM,69.622,,,,
508,07/14/18,09:30:00 PM,70.308,,,,
509,07/14/18,10:00:00 PM,68.763,,,,
510,07/14/18,10:30:00 PM,65.338,,,,
511,07/14/18,11:00:00 PM,69.622,,,,
512,07/14/18,11:30:00 PM,68.421,,,,
513,07/15/18,12:00:00 AM,68.421,,,,
514,07/15/18,12:30:00 AM,69.622,,,,
515,07/15/18,01:00:00 AM,67.906,,,,
516,07/15/18,01:30:00 AM,68.077,,,,
517,07/15/18,02:00:00 AM,69.278,,,,
518,07/15/18,02:30:00 AM,69.622,,,,
519,07/15/18,03:00:00 AM,68.763,,,,
520,07/15/18,03:30:00 AM,68.934,,,,
521,07/15/18,04:00:00 AM,69.449,,,,
522,07/15/18,04:30:00 AM,69.964,,,,
523,07/15/18,05:00:00 AM,70.137,,,,
524,07/15/18,05:30:00 AM,69.793,,,,
525,07/15/18,06:00:00 AM,68.421,,,,
526,07/15/18,06:30:00 AM,68.934,,,,
527,07/15/18,07:00:00 AM,69.107,,,,
528,07/15/18,07:30:00 AM,67.392,,,,
529,07/15/18,08:00:00 AM,62.598,,,,
530,07/15/18,08:30:00 AM,62.083,,,,
531,07/15/18,09:00:00 AM,62.940,,,,
532,07/15/18,09:30:00 AM,68.592,,,,
533,07/15/18,10:00:00 AM,65.338,,,,
534,07/15/18,10:30:00 AM,64.310,,,,
535,07/15/18,11:00:00 AM,63.797,,,,
536,07/15/18,11:30:00 AM,62.769,,,,
537,07/15/18,12:00:00 PM,63.282,,,,
538,07/15/18,12:30:00 PM,63.626,,,,
539,07/15/18,01:00:00 PM,62.425,,,,
540,07/15/18,01:30:00 PM,63.282,,,,
541,07/15/18,02:00:00 PM,64.481,,,,
542,07/15/18,02:30:00 PM,66.022,,,,
543,07/15/18,03:00:00 PM,65.680,,,,
544,07/15/18,03:30:00 PM,65.167,,,,
545,07/15/18,04:00:00 PM,64.996,,,,
546,07/15/18,04:30:00 PM,65.167,,,,
547,07/15/18,05:00:00 PM,67.906,,,,
548,07/15/18,05:30:00 PM,68.077,,,,
